customer_id,signup_date,gender,age_group,location,preferred_channel,lifetime_value,loyalty_tier
C0001,2023-01-01,Female,18-24,Calgary,Online,0.0,Platinum
C0002,2023-01-08,Female,35-44,Calgary,In-Store,0.0,Gold
C0003,2023-01-15,Male,35-44,Toronto,Mobile,0.0,Bronze
C0004,2023-01-22,Male,18-24,Edmonton,In-Store,0.0,Bronze
C0005,2023-01-29,Other,35-44,Toronto,Online,0.0,Gold
C0006,2023-02-05,Male,45-54,Edmonton,In-Store,0.0,Platinum
C0007,2023-02-12,Female,25-34,Calgary,Online,0.0,Platinum
C0008,2023-02-19,Female,45-54,Edmonton,Mobile,0.0,Bronze
C0009,2023-02-26,Other,25-34,Calgary,In-Store,0.0,Silver
C0010,2023-03-05,Female,25-34,Edmonton,Mobile,0.0,Bronze
C0011,2023-03-12,Other,45-54,Vancouver,In-Store,0.0,Bronze
C0012,2023-03-19,Female,35-44,Edmonton,In-Store,0.0,Silver
C0013,2023-03-26,Female,35-44,Calgary,In-Store,0.0,Silver
C0014,2023-04-02,Male,18-24,Vancouver,In-Store,0.0,Gold
C0015,2023-04-09,Female,25-34,Montreal,Mobile,0.0,Bronze
C0016,2023-04-16,Male,45-54,Edmonton,Online,0.0,Bronze
C0017,2023-04-23,Male,35-44,Edmonton,In-Store,0.0,Platinum
C0018,2023-04-30,Female,35-44,Edmonton,In-Store,0.0,Platinum
C0019,2023-05-07,Female,35-44,Montreal,Online,0.0,Silver
C0020,2023-05-14,Male,45-54,Toronto,Online,0.0,Gold
C0021,2023-05-21,Female,25-34,Edmonton,Online,0.0,Platinum
C0022,2023-05-28,Male,18-24,Calgary,In-Store,0.0,Platinum
C0023,2023-06-04,Female,35-44,Calgary,Mobile,0.0,Silver
C0024,2023-06-11,Female,18-24,Edmonton,Mobile,0.0,Gold
C0025,2023-06-18,Female,25-34,Montreal,In-Store,0.0,Silver
C0026,2023-06-25,Female,25-34,Toronto,Online,0.0,Gold
C0027,2023-07-02,Female,18-24,Vancouver,Mobile,0.0,Gold
C0028,2023-07-09,Female,18-24,Montreal,Mobile,0.0,Gold
C0029,2023-07-16,Male,18-24,Montreal,In-Store,0.0,Gold
C0030,2023-07-23,Male,45-54,Toronto,Online,0.0,Bronze
C0031,2023-07-30,Female,18-24,Calgary,In-Store,0.0,Platinum
C0032,2023-08-06,Male,35-44,Vancouver,In-Store,0.0,Gold
C0033,2023-08-13,Female,45-54,Montreal,Mobile,0.0,Bronze
C0034,2023-08-20,Male,25-34,Vancouver,Online,0.0,Silver
C0035,2023-08-27,Female,25-34,Calgary,Online,1.0729152,Silver
C0036,2023-09-03,Female,35-44,Montreal,In-Store,0.0,Silver
C0037,2023-09-10,Other,18-24,Toronto,Online,0.0,Gold
C0038,2023-09-17,Female,45-54,Vancouver,Online,0.0,Platinum
C0039,2023-09-24,Male,18-24,Calgary,Mobile,9.2146464,Platinum
C0040,2023-10-01,Female,25-34,Calgary,Mobile,0.0,Platinum
C0041,2023-10-08,Male,25-34,Vancouver,Online,0.0,Bronze
C0042,2023-10-15,Female,18-24,Montreal,Online,0.0,Silver
C0043,2023-10-22,Male,18-24,Montreal,Mobile,5.679936,Platinum
C0044,2023-10-29,Female,25-34,Montreal,Online,0.0,Gold
C0045,2023-11-05,Female,18-24,Calgary,Mobile,0.0,Silver
C0046,2023-11-12,Female,25-34,Calgary,Online,0.0,Silver
C0047,2023-11-19,Male,25-34,Vancouver,Online,0.0,Bronze
C0048,2023-11-26,Male,45-54,Calgary,Online,0.0,Silver
C0049,2023-12-03,Female,45-54,Edmonton,Mobile,0.0,Gold
C0050,2023-12-10,Male,45-54,Toronto,Mobile,0.0,Silver
C0051,2023-12-17,Male,18-24,Vancouver,Mobile,0.0,Bronze
C0052,2023-12-24,Male,45-54,Toronto,In-Store,6.8794272,Gold
C0053,2023-12-31,Male,35-44,Vancouver,In-Store,0.0,Platinum
C0054,2024-01-07,Female,35-44,Calgary,In-Store,0.0,Silver
C0055,2024-01-14,Female,25-34,Edmonton,Online,0.0,Platinum
C0056,2024-01-21,Female,35-44,Vancouver,In-Store,0.0,Bronze
C0057,2024-01-28,Male,35-44,Montreal,Mobile,4.1970528,Silver
C0058,2024-02-04,Male,35-44,Vancouver,Online,0.0,Silver
C0059,2024-02-11,Male,25-34,Edmonton,Mobile,0.0,Bronze
C0060,2024-02-18,Female,45-54,Calgary,Mobile,0.0,Gold
C0061,2024-02-25,Male,25-34,Edmonton,In-Store,0.0,Silver
C0062,2024-03-03,Male,18-24,Edmonton,In-Store,0.0,Gold
C0063,2024-03-10,Female,25-34,Edmonton,In-Store,0.0,Platinum
C0064,2024-03-17,Female,18-24,Calgary,Mobile,0.0,Bronze
C0065,2024-03-24,Male,25-34,Montreal,Online,0.0,Platinum
C0066,2024-03-31,Male,45-54,Toronto,Mobile,0.0,Bronze
