store_id,sku,date,opening_stock,inflow,outflow,closing_stock,stock_value
NY01,DD-40,2025-01-01,111,35,21,125,3653.35
NY01,AA-10,2025-01-02,175,27,27,175,8615.71
TX01,CC-30,2025-01-03,83,48,47,84,1896.72
NY01,BB-20,2025-01-04,184,17,3,198,2595.16
TX01,EE-50,2025-01-05,165,28,31,162,2412.12
CA01,CC-30,2025-01-06,151,10,36,125,4909.31
NY01,DD-40,2025-01-07,127,29,40,116,3657.92
TX01,EE-50,2025-01-08,78,9,57,30,874.05
CA02,DD-40,2025-01-09,114,20,9,125,2083.33
CA02,AA-10,2025-01-10,175,5,39,141,6233.79
CA02,EE-50,2025-01-11,107,5,47,65,2874.24
CA02,CC-30,2025-01-12,69,4,27,46,1281.94
CA02,CC-30,2025-01-13,141,43,58,126,1617.03
NY01,DD-40,2025-01-14,83,2,50,35,668.14
CA02,BB-20,2025-01-15,156,1,13,144,3934.75
TX01,CC-30,2025-01-16,83,33,2,114,3929.86
TX01,FF-60,2025-01-17,89,17,57,49,2044.65
CA02,BB-20,2025-01-18,176,3,25,154,7256.59
CA02,BB-20,2025-01-19,111,40,4,147,3231.1
CA01,DD-40,2025-01-20,106,11,48,69,2414.0
TX01,EE-50,2025-01-21,184,46,19,211,10053.37
CA01,BB-20,2025-01-22,103,0,12,91,1065.29
CA02,FF-60,2025-01-23,144,42,10,176,5317.58
CA01,DD-40,2025-01-24,161,45,27,179,4990.21
TX01,CC-30,2025-01-25,139,15,45,109,3181.09
CA01,EE-50,2025-01-26,55,38,7,86,3747.48
NY01,EE-50,2025-01-27,121,32,32,121,4538.31
CA01,DD-40,2025-01-28,69,26,53,42,897.72
CA01,CC-30,2025-01-29,168,42,42,168,8226.23
CA01,EE-50,2025-01-30,173,43,15,201,3585.16
CA02,FF-60,2025-01-31,89,41,27,103,5029.4
CA01,EE-50,2025-02-01,50,28,0,78,3511.44
NY01,AA-10,2025-02-02,96,11,30,77,1574.61
CA01,DD-40,2025-02-03,101,42,7,136,4536.08
CA02,EE-50,2025-02-04,154,40,58,136,4158.97
CA02,DD-40,2025-02-05,68,4,38,34,537.39
CA02,AA-10,2025-02-06,171,23,50,144,1636.6
TX01,AA-10,2025-02-07,140,39,5,174,5733.44
TX01,DD-40,2025-02-08,110,38,46,102,1290.74
NY01,AA-10,2025-02-09,160,28,19,169,4090.63
CA01,DD-40,2025-02-10,163,36,13,186,7905.64
CA01,DD-40,2025-02-11,81,28,51,58,1118.33
CA01,CC-30,2025-02-12,158,24,19,163,7062.0
TX01,DD-40,2025-02-13,185,41,17,209,4361.72
CA01,BB-20,2025-02-14,114,13,44,83,3514.23
CA02,DD-40,2025-02-15,67,43,22,88,2654.66
CA01,BB-20,2025-02-16,175,14,44,145,2162.4
TX01,FF-60,2025-02-17,144,19,25,138,5548.15
NY01,DD-40,2025-02-18,163,7,14,156,4221.64
CA02,CC-30,2025-02-19,50,32,13,69,863.84
CA01,BB-20,2025-02-20,160,5,53,112,1952.14
CA01,EE-50,2025-02-21,71,31,53,49,1350.58
NY01,FF-60,2025-02-22,195,3,32,166,4677.61
CA02,DD-40,2025-02-23,54,6,19,41,1412.26
CA01,EE-50,2025-02-24,133,1,50,84,4061.14
CA01,EE-50,2025-02-25,173,1,41,133,5147.48
CA02,FF-60,2025-02-26,103,7,39,71,3009.08
TX01,CC-30,2025-02-27,73,10,7,76,1135.35
CA02,BB-20,2025-02-28,150,23,24,149,2713.86
TX01,AA-10,2025-03-01,125,38,25,138,3904.22
TX01,CC-30,2025-03-02,113,24,29,108,2425.35
NY01,BB-20,2025-03-03,195,48,40,203,9641.37
TX01,AA-10,2025-03-04,139,32,17,154,6310.67
NY01,FF-60,2025-03-05,97,2,4,95,1494.01
CA02,DD-40,2025-03-06,71,49,26,94,2045.73
NY01,AA-10,2025-03-07,195,33,37,191,7961.49
NY01,BB-20,2025-03-08,119,14,36,97,1417.17
CA01,DD-40,2025-03-09,89,20,32,77,949.76
NY01,CC-30,2025-03-10,89,11,26,74,3176.81
CA01,AA-10,2025-03-11,191,20,57,154,4630.5
TX01,FF-60,2025-03-12,89,41,2,128,1537.76
CA01,EE-50,2025-03-13,89,25,35,79,1450.42
TX01,FF-60,2025-03-14,93,32,24,101,3923.39
CA02,EE-50,2025-03-15,69,45,54,60,1008.32
TX01,FF-60,2025-03-16,59,38,13,84,1809.3
CA01,DD-40,2025-03-17,96,45,55,86,4064.38
NY01,EE-50,2025-03-18,68,24,16,76,3683.87
TX01,BB-20,2025-03-19,177,25,37,165,3673.01
CA01,EE-50,2025-03-20,143,8,31,120,2481.83
CA01,EE-50,2025-03-21,110,10,41,79,3942.17
NY01,BB-20,2025-03-22,132,23,20,135,5420.28
NY01,DD-40,2025-03-23,126,33,51,108,1277.13
NY01,CC-30,2025-03-24,180,4,41,143,7054.43
TX01,AA-10,2025-03-25,59,6,25,40,782.98
TX01,EE-50,2025-03-26,91,16,20,87,1924.53
CA01,DD-40,2025-03-27,110,1,39,72,1051.52
TX01,FF-60,2025-03-28,182,35,44,173,6779.81
NY01,FF-60,2025-03-29,161,44,4,201,2858.39
TX01,EE-50,2025-03-30,103,30,8,125,3658.39
TX01,BB-20,2025-03-31,135,40,52,123,1670.66
