session_id,customer_id,pageviews,time_spent,device_type,referral_source,cart_additions,checkout_flag
SESS-1,C0078,14,,desktop,referral,0,False
SESS-2,C0047,16,,mobile,referral,9,False
SESS-3,C0094,5,,tablet,social,8,False
SESS-4,C0060,7,,tablet,referral,8,False
SESS-5,C0096,4,,mobile,referral,3,True
SESS-6,C0034,13,,mobile,paid,1,False
SESS-7,C0062,6,,mobile,paid,5,True
SESS-8,C0028,19,,tablet,paid,3,True
SESS-9,C0061,11,,mobile,paid,4,False
SESS-10,C0012,9,,tablet,social,1,True
SESS-11,C0072,5,,tablet,referral,9,True
SESS-12,C0040,3,,desktop,paid,6,False
SESS-13,C0043,19,,tablet,social,3,False
SESS-14,C0021,5,,desktop,organic,5,False
SESS-15,C0062,3,,tablet,referral,6,True
SESS-16,C0059,8,,mobile,referral,5,False
SESS-17,C0097,9,,desktop,social,6,False
SESS-18,C0057,19,,desktop,social,2,True
SESS-19,C0029,7,,tablet,social,1,False
SESS-20,C0033,3,,mobile,referral,2,False
SESS-21,C0039,7,,tablet,paid,7,False
SESS-22,C0043,14,,tablet,paid,0,True
SESS-23,C0036,2,,mobile,referral,1,False
SESS-24,C0089,2,,mobile,referral,3,True
SESS-25,C0067,16,,desktop,social,6,False
SESS-26,C0068,1,,mobile,referral,6,True
SESS-27,C0049,7,,mobile,organic,8,False
SESS-28,C0066,15,,desktop,organic,3,True
SESS-29,C0032,8,,tablet,social,0,True
SESS-30,C0037,13,,mobile,organic,8,False
SESS-31,C0034,11,,mobile,social,1,False
SESS-32,C0063,4,,desktop,organic,2,False
SESS-33,C0077,16,,desktop,referral,5,False
SESS-34,C0095,16,,tablet,organic,7,True
SESS-35,C0007,8,,desktop,organic,3,False
SESS-36,C0017,10,,mobile,social,6,False
SESS-37,C0033,8,,desktop,paid,6,False
SESS-38,C0083,19,,mobile,social,3,True
SESS-39,C0018,19,,tablet,referral,0,False
SESS-40,C0069,16,,mobile,social,2,False
SESS-41,C0098,10,,tablet,social,9,False
SESS-42,C0058,13,,desktop,social,3,False
SESS-43,C0097,12,,mobile,referral,6,False
SESS-44,C0091,12,,tablet,paid,3,False
SESS-45,C0040,14,,tablet,social,6,False
SESS-46,C0017,6,,mobile,social,8,True
SESS-47,C0008,4,,mobile,referral,7,False
SESS-48,C0038,6,,mobile,organic,2,True
SESS-49,C0098,3,,tablet,organic,9,False
SESS-50,C0076,16,,mobile,paid,0,True
SESS-51,C0014,11,,desktop,organic,5,True
SESS-52,C0096,18,,tablet,referral,7,False
SESS-53,C0020,6,,tablet,social,0,True
SESS-54,C0003,15,,tablet,referral,6,False
SESS-55,C0073,3,,tablet,referral,8,False
SESS-56,C0037,3,,mobile,social,7,False
SESS-57,C0068,13,,mobile,paid,7,False
SESS-58,C0062,2,,tablet,organic,7,True
SESS-59,C0010,17,,desktop,paid,5,False
SESS-60,C0040,6,,tablet,paid,2,False
SESS-61,C0075,5,,desktop,social,0,True
SESS-62,C0021,13,,tablet,referral,3,True
SESS-63,C0095,15,,mobile,paid,2,False
SESS-64,C0093,18,,desktop,social,7,True
SESS-65,C0022,5,,tablet,social,3,False
SESS-66,C0031,8,,mobile,social,5,False
SESS-67,C0086,13,,desktop,organic,5,True
SESS-68,C0092,11,,tablet,paid,0,False
SESS-69,C0039,6,,desktop,organic,8,False
SESS-70,C0054,9,,desktop,social,8,False
SESS-71,C0047,19,,tablet,paid,0,False
SESS-72,C0020,6,,tablet,paid,7,False
SESS-73,C0035,13,,mobile,referral,7,True
SESS-74,C0070,1,,tablet,organic,5,True
SESS-75,C0060,5,,tablet,referral,5,False
SESS-76,C0079,5,,desktop,referral,0,True
SESS-77,C0016,18,,tablet,organic,3,False
SESS-78,C0019,1,,mobile,organic,7,False
SESS-79,C0091,3,,tablet,referral,3,False
SESS-80,C0029,15,,tablet,referral,9,False
SESS-81,C0017,6,,desktop,social,4,False
SESS-82,C0038,12,,desktop,organic,7,False
SESS-83,C0007,11,,tablet,paid,5,False
SESS-84,C0082,6,,desktop,referral,5,False
SESS-85,C0056,15,,desktop,organic,7,True
SESS-86,C0060,12,,desktop,social,1,False
SESS-87,C0030,10,,desktop,paid,8,False
SESS-88,C0093,16,,desktop,paid,4,True
SESS-89,C0053,9,,desktop,paid,7,False
SESS-90,C0035,19,,tablet,paid,0,True
SESS-91,C0064,6,,tablet,paid,7,False
SESS-92,C0085,15,,desktop,social,4,True
SESS-93,C0046,19,,mobile,social,0,False
SESS-94,C0067,7,,mobile,referral,8,True
SESS-95,C0018,13,,desktop,social,3,True
SESS-96,C0013,8,,mobile,referral,6,False
SESS-97,C0081,17,,desktop,social,1,False
SESS-98,C0090,3,,desktop,social,7,False
SESS-99,C0078,12,,mobile,organic,8,True
SESS-100,C0016,4,,tablet,organic,2,True
SESS-101,C0026,7,,mobile,paid,6,False
SESS-102,C0019,5,,tablet,social,6,False
SESS-103,C0031,12,,mobile,organic,7,False
SESS-104,C0041,4,,tablet,referral,0,True
SESS-105,C0015,3,,mobile,paid,9,False
SESS-106,C0028,7,,desktop,organic,6,False
SESS-107,C0091,19,,tablet,paid,5,True
SESS-108,C0014,8,,tablet,social,3,False
SESS-109,C0004,17,,mobile,paid,5,False
SESS-110,C0042,4,,tablet,paid,1,True
SESS-111,C0096,14,,desktop,referral,7,True
SESS-112,C0100,2,,tablet,social,4,True
SESS-113,C0065,10,,tablet,organic,2,False
