sku,warehouse_location,stock_level,reorder_threshold,supplier,avg_shipping_time_days,return_rate_percent
SKU10000,WH-LON,202.0,51.0, UrbanTraders ,,9.99
SKU10001,WH-LON,236.0,67.0, PrimeWholesale ,,7.3
SKU10002,wh-tor,188.0,32.0,PrimeWholesale,,7.9
SKU10003,WH-NY,100.0,,GlobalSupplyCo,,14.75
SKU10004,WH-BER,260.0,76.0,FastTrack Logistics,,4.67
SKU10005,WH-SYD,193.0,72.0,GlobalSupplyCo,,4.37
SKU10005,WH-BER,150.0,50.0,FastTrack Logistics,,3.84
SKU10006,WH-SYD,152.0,75.0,PrimeWholesale,,5.84
SKU10009,WH-TOR,26.0,56.0,FastTrack Logistics,,1.01
SKU10010,WH-SYD,116.0,23.0,FASTTRACK LOGISTICS,,0.27
SKU10011,WH-TOR,151.0,43.0,GlobalSupplyCo,,4.39
SKU10012,WH-TOR,261.0,217.218167220084,UrbanTraders,,0.02
SKU10012,NAN,27.0,44.0, GlobalSupplyCo ,,5.82
SKU10013,WH-BER,93.0,23.0,GlobalSupplyCo,,12.81
sku10013,WH-SYD,255.0,217.218167220084, GlobalSupplyCo ,,51.97295141887351
SKU10014,WH-TOR,119.0,74.0,PrimeWholesale,,
SKU10015,WH-TOR,237.0,65.0,PrimeWholesale,,11.39
SKU10016,WH-NY,65.0,, urbantraders ,,1.76
SKU10017,WH-NY,,61.0,UrbanTraders,,8.19
SKU10018,WH-BER,102.0,66.0,GlobalSupplyCo,,6.51
SKU10018,WH-NY,16.0,34.0, UrbanTraders ,,10.66
sku10019,WH-SYD,126.0,22.0,FASTTRACK LOGISTICS,,2.59
sku10019,WH-BER,242.0,,FastTrack Logistics,,11.22
SKU10020,WH-BER,269.0,78.0,UrbanTraders,,12.44
SKU10021,WH-SYD,52.0,72.0,urbantraders,,7.71
SKU10021,WH-TOR,298.0,69.0, PrimeWholesale ,,
SKU10022,WH-SYD,82.0,51.0,urbantraders,,14.73
SKU10024,WH-SYD,1043.4776759096053,71.0,UrbanTraders,,13.63
SKU10025,WH-TOR,214.0,68.0,PrimeWholesale,,11.96
SKU10025,WH-SYD,299.0,73.0, FASTTRACK LOGISTICS ,,5.38
SKU10026,WH-SYD,162.0,31.0,UrbanTraders,,8.05
SKU10026,WH-NY,131.0,58.0, GLOBALSUPPLYCO ,,7.83
SKU10027,WH-TOR,272.0,46.0, GlobalSupplyCo ,,7.67
SKU10028,WH-TOR,229.0,45.0,PrimeWholesale,,
SKU10029,WH-NY,70.0,56.0,UrbanTraders,,10.44
sku10030,WH-BER,199.0,34.0,GlobalSupplyCo,,13.03
SKU10031,WH-LON,75.0,36.0,FastTrack Logistics,,11.25
SKU10031,WH-BER,,,FASTTRACK LOGISTICS,,13.43
SKU10032,wh-ny,123.0,43.0,GlobalSupplyCo,,2.87
SKU10032,WH-BER,54.0,52.0, GlobalSupplyCo ,,2.38
SKU10033,WH-NY,257.0,23.0,GlobalSupplyCo,,9.95
SKU10034,WH-TOR,234.0,70.0,UrbanTraders,,3.41
SKU10034,wh-ber,274.0,33.0,PrimeWholesale,,5.13
SKU10035,WH-NY,192.0,54.0,GlobalSupplyCo,,4.8
SKU10036,WH-SYD,189.0,217.218167220084, URBANTRADERS ,,2.25
sku10036,WH-BER,250.0,59.0,primewholesale,,4.54
SKU10037,WH-TOR,61.0,38.0,urbantraders,,0.68
SKU10038,WH-SYD,160.0,34.0,FastTrack Logistics,,3.91
SKU10038,WH-LON,168.0,30.0,UrbanTraders,,11.1
SKU10039,WH-BER,83.0,,GlobalSupplyCo,,13.59
SKU10039,WH-NY,51.0,67.0,UrbanTraders,,10.65
SKU10040,WH-NY,239.0,, UrbanTraders ,,6.24
SKU10040,WH-SYD,188.0,30.0, FastTrack Logistics ,,13.22
sku10041,WH-TOR,93.0,27.0,UrbanTraders,,6.19
SKU10041,WH-BER,116.0,26.0,PrimeWholesale,,7.09
SKU10042,WH-LON,259.0,39.0,UrbanTraders,,0.64
sku10043,WH-BER,192.0,32.0, urbantraders ,,0.8
SKU10044,WH-LON,25.0,,PrimeWholesale,,12.37
SKU10044,WH-BER,282.0,30.0,globalsupplyco,,10.97
SKU10045,WH-BER,290.0,58.0,UrbanTraders,,7.48
SKU10045,WH-TOR,,66.0,FastTrack Logistics,,8.34
SKU10046,NAN,206.0,,GLOBALSUPPLYCO,,10.03
SKU10048,WH-TOR,196.0,71.0,,,7.39
SKU10049,WH-NY,81.0,29.0,PrimeWholesale,,7.41
SKU10049,wh-ber,152.0,35.0, UrbanTraders ,,14.6
SKU10050,WH-NY,149.0,40.0,PrimeWholesale,,4.51
SKU10051,WH-TOR,32.0,40.0,UrbanTraders,,5.95
SKU10051,NAN,56.0,62.0, GlobalSupplyCo ,,51.97295141887351
SKU10052,WH-SYD,273.0,,,,0.54
SKU10053,WH-NY,134.0,39.0,URBANTRADERS,,12.89
SKU10053,wh-ber,258.0,60.0,fasttrack logistics,,10.63
NAN,wh-tor,46.0,49.0,globalsupplyco,,
SKU10055,WH-SYD,26.0,33.0,PRIMEWHOLESALE,,7.95
SKU10055,WH-LON,198.0,75.0,primewholesale,,3.53
SKU10056,WH-TOR,,53.0, PrimeWholesale ,,6.21
SKU10057,WH-TOR,35.0,63.0,UrbanTraders,,1.05
SKU10058,WH-TOR,80.0,42.0, fasttrack logistics ,,4.22
SKU10059,wh-ny,172.0,23.0,PrimeWholesale,,2.28
SKU10059,WH-BER,265.0,41.0,primewholesale,,9.08
SKU10061,WH-TOR,124.0,57.0,PRIMEWHOLESALE,,5.72
sku10062,WH-LON,138.0,50.0, PrimeWholesale ,,1.7
SKU10062,WH-NY,284.0,65.0,GlobalSupplyCo,,1.3
SKU10063,WH-TOR,233.0,217.218167220084,urbantraders,,3.97
SKU10065,WH-TOR,168.0,40.0,fasttrack logistics,,12.56
SKU10066,WH-NY,23.0,74.0,globalsupplyco,,10.63
SKU10067,WH-NY,285.0,54.0,GLOBALSUPPLYCO,,14.86
SKU10068,WH-BER,238.0,74.0,UrbanTraders,,
SKU10068,NAN,271.0,41.0,FastTrack Logistics,,4.16
SKU10069,WH-SYD,57.0,57.0, UrbanTraders ,,4.29
