campaign_id,channel,campaign_type,start_date,end_date,promo_code,ad_spend,impressions,clicks,conversions,revenue,ctr,conversion_rate
CAMP3000,email,new_arrival,2025-04-23,2024-07-06,SUMMER15,252.1,31075,543,17,583.31,0.0175,0.0313
CAMP3001,instagram,new_arrival,2025-07-10,2024-10-09,SUMMER15,478.35,11156,285,6,328.12,0.0255,0.0211
CAMP3002,facebook,seasonal_sale,2024-03-25,2024-06-14,,51.12,49509,2255,273,12276.3,0.0455,0.1211
CAMP3003,instagram,new_arrival,2024-11-19,2024-12-07,,267.01,28768,432,22,860.71,0.015,0.0509
CAMP3004,email,new_arrival,2025-03-26,2025-03-16,BF2025,296.02,49345,3343,240,33465.45,0.0677,0.0718
CAMP3005,instagram,brand_awareness,2024-05-27,2025-02-21,SUMMER15,277.09,26426,1111,106,14658.99,0.042,0.0954
CAMP3006,instagram,retargeting,2024-04-27,2025-09-17,BF2025,400.82,24280,840,30,1458.39,0.0346,0.0357
CAMP3007,google_ads,seasonal_sale,2024-05-07,2025-08-03,FREESHIP,130.16,27568,1434,195,20428.08,0.052,0.136
CAMP3008,in_app,retargeting,2024-01-07,2024-07-21,WELCOME10,261.68,20612,981,95,3545.72,0.0476,0.0968
CAMP3009,in_app,retargeting,2025-03-12,2024-12-28,SUMMER15,406.25,37978,1936,203,29299.91,0.051,0.1049
CAMP3010,facebook,seasonal_sale,2025-04-19,2025-10-01,BF2025,223.37,6659,423,42,1977.85,0.0635,0.0993
CAMP3011,instagram,brand_awareness,2024-04-28,2024-11-06,WELCOME10,57.08,5802,253,24,844.92,0.0436,0.0949
CAMP3012,in_app,retargeting,2024-07-23,2025-06-04,FREESHIP,285.5,26305,1787,207,20907.44,0.0679,0.1158
CAMP3013,instagram,retargeting,2025-04-11,2024-05-16,WELCOME10,462.18,9112,382,40,4549.54,0.0419,0.1047
CAMP3014,email,retargeting,2024-07-24,2024-04-11,,312.57,48491,3017,78,3170.76,0.0622,0.0259
CAMP3015,google_ads,new_arrival,2024-05-18,2024-11-11,,76.5,10776,859,47,5025.53,0.0797,0.0547
CAMP3016,facebook,brand_awareness,2024-10-01,2025-09-16,,86.63,37492,1069,61,2551.94,0.0285,0.0571
CAMP3017,in_app,retargeting,2024-09-13,2024-09-05,,183.64,43928,3478,251,17443.12,0.0792,0.0722
CAMP3018,instagram,brand_awareness,2025-09-12,2025-08-07,SUMMER15,214.24,29159,2126,274,22061.82,0.0729,0.1289
CAMP3019,facebook,new_arrival,2024-12-17,2025-10-20,SUMMER15,430.58,12780,591,29,4111.83,0.0462,0.0491
CAMP3020,in_app,seasonal_sale,2024-08-11,2025-02-05,,128.85,13164,757,92,13505.56,0.0575,0.1215
CAMP3021,facebook,brand_awareness,2025-04-11,2024-03-23,WELCOME10,486.32,49266,1442,111,2597.43,0.0293,0.077
CAMP3022,facebook,brand_awareness,2024-09-29,2024-06-22,,492.83,3177,127,3,352.92,0.04,0.0236
CAMP3023,facebook,new_arrival,2024-12-07,2024-10-12,,139.66,46198,1227,171,18826.05,0.0266,0.1394
CAMP3024,facebook,brand_awareness,2024-04-06,2024-12-22,SUMMER15,398.62,8129,445,23,544.37,0.0547,0.0517
CAMP3025,email,seasonal_sale,2024-11-16,2025-05-02,,132.09,49408,1734,149,15942.48,0.0351,0.0859
CAMP3026,facebook,new_arrival,2024-09-08,2025-08-16,,261.5,30107,354,39,4989.6,0.0118,0.1102
CAMP3027,facebook,brand_awareness,2024-09-17,2024-05-19,WELCOME10,96.65,22401,715,12,759.03,0.0319,0.0168
CAMP3028,google_ads,seasonal_sale,2024-08-13,2025-06-19,WELCOME10,280.75,45097,2251,144,8902.91,0.0499,0.064
CAMP3029,facebook,brand_awareness,2025-04-01,2025-09-03,,237.32,31611,1032,145,10246.68,0.0326,0.1405
CAMP3030,in_app,brand_awareness,2025-07-31,2025-09-26,,407.0,26068,1657,86,7169.88,0.0636,0.0519
CAMP3031,facebook,retargeting,2024-08-26,2024-12-22,BF2025,455.15,41747,770,28,2778.46,0.0184,0.0364
CAMP3032,instagram,brand_awareness,2024-07-13,2025-10-03,,279.15,32411,1173,127,13068.02,0.0362,0.1083
CAMP3033,email,seasonal_sale,2024-08-29,2024-09-20,BF2025,383.18,10098,492,45,1245.97,0.0487,0.0915
CAMP3034,email,retargeting,2024-03-12,2024-02-20,,393.16,11356,170,5,240.04,0.015,0.0294
CAMP3035,google_ads,new_arrival,2024-12-24,2025-01-09,,343.79,43379,1149,104,2820.35,0.0265,0.0905
CAMP3036,email,seasonal_sale,2024-03-22,2025-07-25,,106.7,21008,1346,183,20766.33,0.0641,0.136
CAMP3037,google_ads,new_arrival,2024-06-03,2025-04-17,,488.82,28963,1775,211,24703.35,0.0613,0.1189
CAMP3038,in_app,brand_awareness,2025-05-17,2025-03-01,,148.13,21398,1252,46,3186.6,0.0585,0.0367
CAMP3039,facebook,new_arrival,2025-09-15,2025-02-19,,458.49,45901,1377,55,5814.99,0.03,0.0399
CAMP3040,in_app,retargeting,2025-03-26,2025-05-11,,484.84,27907,1571,43,1569.76,0.0563,0.0274
CAMP3041,facebook,seasonal_sale,2024-02-10,2024-02-27,,160.74,29994,1232,53,5070.22,0.0411,0.043
CAMP3042,email,brand_awareness,2024-02-11,2025-01-08,SUMMER15,158.7,25479,1084,129,2689.28,0.0425,0.119
CAMP3043,instagram,retargeting,2025-06-13,2024-11-30,FREESHIP,474.29,39715,2225,58,7170.94,0.056,0.0261
CAMP3044,facebook,brand_awareness,2024-07-14,2024-11-10,FREESHIP,482.78,30272,1181,65,5768.31,0.039,0.055
CAMP3045,email,new_arrival,2025-10-20,2025-09-18,WELCOME10,316.26,18668,794,107,7570.51,0.0425,0.1348
CAMP3046,google_ads,new_arrival,2025-04-17,2024-07-16,,371.36,3292,202,12,358.61,0.0614,0.0594
CAMP3047,email,brand_awareness,2024-10-30,2025-07-11,,462.18,11773,274,22,1755.41,0.0233,0.0803
CAMP3048,email,retargeting,2025-04-24,2025-03-21,,125.58,49081,1492,102,2085.99,0.0304,0.0684
CAMP3049,google_ads,seasonal_sale,2024-08-19,2024-06-26,,88.6,21302,1444,156,8062.47,0.0678,0.108
CAMP3050,facebook,seasonal_sale,2025-02-04,2024-01-14,WELCOME10,122.31,7141,321,21,2773.34,0.045,0.0654
CAMP3051,in_app,seasonal_sale,2025-03-15,2024-05-25,WELCOME10,435.87,41761,1275,51,3508.29,0.0305,0.04
CAMP3052,facebook,retargeting,2024-02-03,2024-03-15,FREESHIP,274.22,44369,1681,122,15717.6,0.0379,0.0726
CAMP3053,in_app,brand_awareness,2025-05-14,2024-03-22,,60.8,45941,687,58,1818.55,0.015,0.0844
CAMP3054,instagram,seasonal_sale,2024-02-01,2025-05-08,WELCOME10,188.46,31945,1247,137,4989.55,0.039,0.1099
CAMP3055,facebook,seasonal_sale,2025-10-07,2025-05-09,,85.21,11884,763,111,16612.23,0.0642,0.1455
CAMP3056,in_app,seasonal_sale,2025-09-16,2025-04-08,,269.0,5386,445,14,839.92,0.0826,0.0315
CAMP3057,in_app,retargeting,2024-01-08,2025-03-19,BF2025,119.72,29034,942,29,2996.9,0.0324,0.0308
CAMP3058,facebook,brand_awareness,2025-10-14,2024-07-23,,126.41,8996,633,98,12071.37,0.0704,0.1548
CAMP3059,in_app,brand_awareness,2025-04-11,2025-01-31,,225.3,49009,1337,86,2449.77,0.0273,0.0643
CAMP3060,instagram,new_arrival,2024-07-02,2025-01-13,,346.04,36453,1416,117,14193.25,0.0388,0.0826
CAMP3061,email,brand_awareness,2024-01-25,2024-03-17,SUMMER15,474.87,43800,580,58,3929.51,0.0132,0.1
CAMP3062,in_app,seasonal_sale,2025-02-11,2024-09-21,BF2025,438.49,10491,479,29,1138.29,0.0457,0.0605
CAMP3063,facebook,new_arrival,2025-09-07,2025-08-06,BF2025,408.48,39351,2582,226,25535.39,0.0656,0.0875
CAMP3064,facebook,brand_awareness,2024-10-13,2024-03-31,WELCOME10,472.62,17192,536,12,935.7,0.0312,0.0224
CAMP3065,in_app,seasonal_sale,2025-06-30,2024-06-07,WELCOME10,56.85,6328,312,18,2559.56,0.0493,0.0577
CAMP3066,in_app,seasonal_sale,2024-03-16,2024-05-01,,213.65,48180,2351,257,19033.02,0.0488,0.1093
CAMP3067,in_app,new_arrival,2025-03-20,2025-04-17,,428.08,30101,1366,76,8448.58,0.0454,0.0556
CAMP3068,google_ads,brand_awareness,2024-07-17,2024-09-07,WELCOME10,198.18,25318,1563,179,18663.14,0.0617,0.1145
CAMP3069,in_app,retargeting,2024-12-15,2024-01-12,,281.32,15438,166,19,1198.13,0.0108,0.1145
CAMP3070,instagram,seasonal_sale,2024-05-08,2024-07-13,,335.64,16907,857,25,3187.68,0.0507,0.0292
CAMP3071,facebook,retargeting,2025-05-03,2025-08-20,WELCOME10,275.63,8156,655,106,7556.52,0.0803,0.1618
CAMP3072,facebook,brand_awareness,2024-05-13,2024-10-08,SUMMER15,391.42,22691,466,47,6410.45,0.0205,0.1009
CAMP3073,instagram,seasonal_sale,2024-01-01,2024-11-13,WELCOME10,252.83,16345,547,80,2579.3,0.0335,0.1463
CAMP3074,facebook,new_arrival,2025-07-11,2025-02-10,,177.14,22748,995,39,3102.41,0.0437,0.0392
CAMP3075,google_ads,new_arrival,2024-01-24,2025-09-06,,460.43,40509,2218,42,3504.82,0.0548,0.0189
CAMP3076,google_ads,seasonal_sale,2025-09-18,2025-08-24,,158.85,31489,638,27,1966.04,0.0203,0.0423
CAMP3077,in_app,seasonal_sale,2025-05-31,2025-04-24,,299.09,9627,709,63,8086.56,0.0736,0.0889
CAMP3078,google_ads,new_arrival,2025-07-18,2025-03-12,,146.53,27907,1545,36,3208.56,0.0554,0.0233
CAMP3079,email,brand_awareness,2024-10-25,2025-04-02,SUMMER15,73.93,36495,1804,141,14068.71,0.0494,0.0782
CAMP3080,google_ads,seasonal_sale,2024-06-07,2024-08-25,,155.89,25966,792,87,11484.19,0.0305,0.1098
CAMP3081,instagram,new_arrival,2025-05-14,2025-08-24,,173.73,2063,31,0,0.0,0.015,0.0
CAMP3082,instagram,retargeting,2025-08-10,2025-05-17,WELCOME10,395.92,40170,1378,172,8551.21,0.0343,0.1248
CAMP3083,facebook,seasonal_sale,2025-09-06,2024-05-25,,77.67,12117,449,46,5390.52,0.0371,0.1024
CAMP3084,facebook,brand_awareness,2024-09-18,2025-04-27,BF2025,489.04,21195,374,23,2678.98,0.0176,0.0615
CAMP3085,email,new_arrival,2025-09-18,2024-06-24,,497.13,1401,35,7,576.51,0.025,0.2
CAMP3086,google_ads,brand_awareness,2025-05-03,2025-08-13,SUMMER15,150.65,4238,175,15,442.32,0.0413,0.0857
CAMP3087,in_app,new_arrival,2025-08-30,2025-03-24,SUMMER15,302.94,8935,200,21,2430.48,0.0224,0.105
CAMP3088,in_app,brand_awareness,2024-01-25,2025-10-24,FREESHIP,240.81,48726,2130,122,9214.33,0.0437,0.0573
CAMP3089,instagram,new_arrival,2025-07-28,2024-05-27,SUMMER15,384.38,28557,1809,173,13868.44,0.0633,0.0956
CAMP3090,in_app,new_arrival,2024-05-03,2025-05-29,BF2025,370.76,27260,1896,106,8051.44,0.0696,0.0559
CAMP3091,in_app,retargeting,2024-10-16,2024-04-22,FREESHIP,364.43,36394,1685,61,8985.85,0.0463,0.0362
CAMP3092,instagram,brand_awareness,2025-07-23,2024-05-13,,131.74,6282,259,37,3529.0,0.0412,0.1429
CAMP3093,in_app,retargeting,2024-10-25,2024-05-15,WELCOME10,84.42,21131,814,22,2024.45,0.0385,0.027
CAMP3094,google_ads,retargeting,2024-06-12,2024-12-12,SUMMER15,277.26,22826,1645,157,3714.4,0.0721,0.0954
CAMP3095,google_ads,retargeting,2025-07-22,2024-09-17,,316.41,38892,1343,146,10498.25,0.0345,0.1087
CAMP3096,in_app,seasonal_sale,2024-04-24,2024-11-10,WELCOME10,485.44,33699,1452,39,5715.15,0.0431,0.0269
CAMP3097,in_app,brand_awareness,2024-08-04,2025-09-23,,473.0,30056,1283,145,8779.08,0.0427,0.113
CAMP3098,in_app,seasonal_sale,2025-08-14,2025-07-08,,161.19,30954,1924,92,13442.42,0.0622,0.0478
CAMP3099,in_app,brand_awareness,2025-10-05,2024-03-26,SUMMER15,231.95,24442,1530,86,5116.05,0.0626,0.0562
CAMP3100,instagram,retargeting,2024-09-25,2025-09-15,,254.53,10965,625,71,5200.21,0.057,0.1136
CAMP3101,google_ads,new_arrival,2024-03-16,2025-01-06,WELCOME10,228.38,15911,609,50,2419.96,0.0383,0.0821
