campaign_id,channel,campaign_type,campaign_date,end_date,promo_code,ad_spend,impressions,clicks,conversions,revenue,ctr,conversion_rate
camp3000,email,new_arrival,2025-04-23,2024-07-06,SUMMER15,252.1,31075,543,17,583.31,0.0175,0.0313
NAN,email,new_arrival,2025-03-26,2025-03-16, BF2025 ,296.02,49345,3343,240,33465.45,0.0677,0.0718
CAMP3005,social,brand_awareness,2024-05-27,2025-02-21,SUMMER15,277.09,26426,1111,106,14658.99,0.042,0.0954
camp3007,google_ads, seasonal_sale ,2024-05-07,, FREESHIP ,130.16,27568,1434,195,20428.08,0.052,0.136
CAMP3009,in_app,retargeting,2025-03-12,2024-12-28, SUMMER15 ,406.25,37978,1936,203,29299.91,,0.1049
CAMP3012,in_app, retargeting ,2024-07-23,,FREESHIP,285.5,26305,1787,207,20907.44,0.0679,0.1158
CAMP3015,google_ads,,2024-05-18,,,76.5,10776,859,47,5025.53,0.0797,0.0547
camp3017,in_app,retargeting,2024-09-13,2024-09-05, nan ,183.64,43928,3478,251,17443.12,0.0792,0.0722
CAMP3020,in_app,seasonal_sale,2024-08-11,,,128.85,13164,757,92,13505.56,0.0575,0.1215
camp3024,social,brand_awareness,2024-04-06,2024-12-22,SUMMER15,398.62,8129,445,23,544.37,0.0547,0.0517
CAMP3026,social,new_arrival,2024-09-08,2025-08-16,,261.5,30107,354,39,4989.6,0.0118,0.1102
CAMP3029,social, brand_awareness ,2025-04-01,, nan ,237.32,31611,1032,145,10246.68,0.0326,0.1405
camp3030,in_app,BRAND_AWARENESS,2025-07-31,2025-09-26,,407.0,26068,1657,86,7169.88,0.0636,0.0519
CAMP3032,social,brand_awareness,2024-07-13,2025-10-03,,279.15,32411,1173,127,13068.02,0.0362,0.1083
CAMP3034,email,retargeting,2024-03-12,2024-02-20,,393.16,11356,170,5,240.04,,0.0294
CAMP3035,google_ads,new_arrival,2024-12-24,2025-01-09,,343.79,43379,1149,104,2820.35,0.0265,0.0905
CAMP3036,email,seasonal_sale,2024-03-22,2025-07-25, nan ,106.7,21008,1346,183,20766.33,0.0641,0.136
camp3037,google_ads,new_arrival,2024-06-03,2025-04-17,,488.82,28963,1775,211,24703.35,0.0613,0.1189
camp3038,in_app,brand_awareness,2025-05-17,, nan ,148.13,21398,1252,46,3186.6,0.0585,0.0367
camp3040,in_app, retargeting ,2025-03-26,, nan ,484.84,27907,1571,43,1569.76,0.0563,0.0274
camp3042,email,BRAND_AWARENESS,2024-02-11,2025-01-08,SUMMER15,158.7,25479,1084,129,2689.28,0.2460293779829661,0.119
CAMP3046,google_ads,new_arrival,2025-04-17,,,371.36,3292,202,12,358.61,0.0614,0.0594
CAMP3047,email,brand_awareness,2024-10-30,,,462.18,11773,274,22,1755.41,0.0233,0.0803
camp3048,email,,2025-04-24,,,125.58,49081,1492,102,2085.99,0.0304,0.0684
CAMP3051,in_app, seasonal_sale ,2025-03-15,,WELCOME10,435.87,41761,1275,51,3508.29,0.0305,0.04
camp3053,in_app,NAN,2025-05-14,, nan ,60.8,45941,687,58,1818.55,0.015,0.0844
CAMP3058,social,brand_awareness,2025-10-14,2024-07-23,,,8996,633,98,12071.37,0.0704,0.1548
CAMP3061,email,brand_awareness,2024-01-25,2024-03-17,SUMMER15,474.87,43800,580,58,3929.51,0.0132,0.1
camp3062,in_app,SEASONAL_SALE,2025-02-11,2024-09-21,bf2025,438.49,10491,479,29,1138.29,0.0457,0.0605
CAMP3066,in_app, seasonal_sale ,2024-03-16,2024-05-01,NAN,213.65,48180,2351,257,19033.02,0.0488,0.1093
CAMP3070,social, seasonal_sale ,2024-05-08,2024-07-13,,335.64,16907,857,25,3187.68,0.0507,0.0292
CAMP3209,social, retargeting ,2024-10-16,2025-05-03, nan ,480.42,22954,933,66,87556.8156026327,0.0406,0.0707
CAMP3072,social,BRAND_AWARENESS,2024-05-13,2024-10-08,SUMMER15,391.42,22691,466,47,6410.45,,
CAMP3074,social,new_arrival,2025-07-11,2025-02-10,,177.14,22748,995,39,3102.41,0.0437,0.0392
CAMP3076,google_ads,seasonal_sale,2025-09-18,2025-08-24, nan ,158.85,31489,638,27,1966.04,0.0203,0.0423
CAMP3077,in_app, seasonal_sale ,2025-05-31,,,299.09,9627,709,63,8086.56,0.0736,0.0889
CAMP3081,social,new_arrival,2025-05-14,2025-08-24,,173.73,2063,31,0,0.0,0.015,
CAMP3083,social,seasonal_sale,2025-09-06,,,77.67,12117,449,46,5390.52,0.0371,0.1024
CAMP3085,email,,2025-09-18,,,497.13,1401,35,7,576.51,0.025,0.2
CAMP3086,google_ads,brand_awareness,2025-05-03,2025-08-13, SUMMER15 ,150.65,4238,175,15,442.32,0.0413,0.0857
