product_id,name,category,brand,color,material,cost_price,price,discount_percent,average_rating,stock_available
SKU10000,product 0,beauty,terra,Green,,82.57,180.45,15.0,,296.0
sku10001,Product 1,books,Terra,Green,Cotton,104.78,229.27,,3.05,489.0
SKU10005,Product 5,nan,Helios, Blue ,,33.34,82.33,0.0,3.25,314.0
SKU10006,Product 6,beauty,Zenith,red, Metal ,103.61,211.29,0.0,4.3,38.0
sku10007,Product 7,sports,Orion,White,Leather,17.1,41.29,0.0,3.11,258.0
SKU10009,PRODUCT 9,clothing,Nova,BLACK,Leather,116.9,259.11,10.0,4.11,6.0
nan,product 11,electronics,Zenith,Black,metal,176.22,369.91,5.0,3.91,25.0
SKU10012,Product 12,nan,Zenith,Gray,Plastic,113.79,279.38,0.0,3.33,160.0
SKU10013,Product 13,electronics,Orion,,Plastic,192.16,328.9,20.0,3.61,356.0
sku10014,Product 14,books,Acme, NAN ,Cotton,14.5,19.86,20.0,,175.0
SKU10015,Product 15,sports,Helios, Gray ,METAL,24.11,49.99,97.90983460235884,3.6,78.0
sku10016,Product 16,clothing,Acme, Red ,Cotton,13.59,29.2,0.0,4.8,1.0
SKU10017,Product 17,sports,orion,Gray,METAL,41.13,80.1,0.0,4.26,488.0
SKU10018,PRODUCT 18,sports,Zenith,BLUE,Cotton,110.55,162.38,30.0,3.88,382.0
SKU10020,PRODUCT 20,books,Zenith,Blue,Leather,13.89,22.3,0.0,4.0,415.0
SKU10021,PRODUCT 21,home & kitchen,Helios,Black,Leather,189.46,332.64,0.0,4.53,131.0
SKU10024,Product 24,nan,NAN,White,Wood,20.05,30.12,15.0,3.5,116.0
SKU10029,PRODUCT 29,beauty,zenith, WHITE , polyester ,52.94,126.11,20.0,3.59,0.0
SKU10030,Product 30,books,helios, black ,Leather,74.84,125.82,0.0,3.53,187.0
SKU10031,Product 31,books,nan,BLACK,Cotton,197.95,430.88,15.0,3.86,55.0
SKU10032,Product 32,beauty,Zenith,White,metal,138.44,327.57,5.0,5.0,34.0
SKU10033,Product 33,sports,Acme,White, Polyester ,190.05,437.11,0.0,3.44,1744.6608834088852
SKU10034,Product 34,books,HELIOS,Red, Plastic ,32.8,47.15,30.0,3.21,285.0
sku10035,Product 35,clothing,zenith,BLUE,Wood,79.52,194.27,0.0,4.17,309.0
SKU10036,product 36,sports,nan,white,Wood,113.17,191.23,20.0,3.98,1744.6608834088852
SKU10037,product 37,sports,Terra,White, Polyester ,19.97,32.77,0.0,4.05,438.0
SKU10038,product 38,nan,Helios,Green,PLASTIC,5.82,7.45,20.0,,216.0
SKU10039,Product 39,books,Nova, Gray ,Polyester,135.73,248.67,0.0,3.53,79.0
SKU10040,Product 40,books,Helios,White,Plastic,130.15,174.63,,4.82,313.0
SKU10041,Product 41,beauty,Nova,Blue,Wood,85.1,129.62,15.0,3.87,82.0
SKU10042,PRODUCT 42,home & kitchen,Zenith,NAN,Leather,100.48,161.98,20.0,3.26,64.0
SKU10043,Product 43,home & kitchen,Nova,Gray,COTTON,86.01,193.65,20.0,4.48,324.0
SKU10045,Product 45,sports,zenith,Black,Cotton,,112.16,20.0,3.63,306.0
SKU10047,Product 47,beauty,Zenith,Black,Leather,24.19,55.99,0.0,3.44,215.0
SKU10048,product 48,home & kitchen,Nova, Green ,leather,647.3323775570758,420.29,0.0,3.89,106.0
SKU10050,Product 50,home & kitchen,Orion,black,Metal,147.09,308.51,0.0,3.27,371.0
