transaction_id,customer_id,order_datetime,product_id,quantity,price_per_unit,total_amount,payment_method,order_status,coupon_applied
ORD5000,CUST1327,2024-05-22 20:19:09.180254,sku10028,3,235.42,706.26,paypal,,false
ORD5002,CUST1140,,SKU10062,2,145.6,291.2,credit_card,delivered,False
ORD5004,cust1377,,SKU10026,4,41.51,166.03,credit_card,delivered,False
ORD5009,CUST1015,,SKU10023,1,136.28,136.28,wallet, nan ,
ORD5010,CUST1111,,sku10059,2,197.12,394.24,credit_card,delivered,False
ORD5015,CUST1279,,SKU10107,2,56.61,113.22, wallet ,delivered,False
ORD5019,CUST1388,,SKU10040,3,165.9,497.7,credit_card,CANCELLED,true
ORD5022,CUST1079,2025-10-21 02:27:33.629422,SKU10055,2,81.4,162.8,credit_card, DELIVERED ,False
ORD5024,CUST1172,,SKU10026,1,41.51,41.51,paypal,DELIVERED,False
ORD5026,nan,,SKU10091,1,311.49,311.49,credit_card,delivered,FALSE
ord5027,CUST1433,,SKU10088,2,179.45,358.9,,,True
ORD5029,CUST1413,,SKU10011,2,351.41,702.83, CREDIT_CARD ,,false
ORD5030,CUST1373,,SKU10117,1,93.95,93.95,wallet, delivered ,False
ORD5033,cust1040,,SKU10141,1,209.73,209.73,paypal,pending,True
ORD5034,CUST1150,,SKU10160,1,148.09,148.09,credit_card,delivered, False 
ORD5035,CUST1316,,SKU10092,2,157.04,314.08,,pending, True 
ORD5036,CUST1295,,SKU10049,1,169.49,169.49,bank_transfer,delivered,true
ORD5040,CUST1148,,SKU10020,1,22.3,22.3,credit_card,,False
ORD5043,CUST1194,,SKU10071,3,179.67,539.01, wallet ,delivered,False
ORD5044,CUST1232,,sku10162,3,162.12,486.36, credit_card ,delivered,False
ord5045,CUST1427,,SKU10093,1,41.36,41.36,credit_card,delivered, False 
ORD5046,CUST1083,,SKU10094,1,82.35,82.35,paypal, delivered ,True
ORD5048,CUST1343,2025-08-13 22:10:00.935979,SKU10068,1,187.8,187.8,WALLET,delivered,False
