event_id,customer_id,session_id,event_datetime,page_type,action,page_views_in_session,search_query,referral_source,add_to_cart,abandoned_cart
EVT200000,CUST1476,SESS104381,2024-01-13 19:27:54.452188,cart,purchase,6,headphones,direct,False,False
EVT200001,CUST1212,SESS101918,2025-07-25 14:11:03.615540,search_results,view_page,4,,instagram,False,False
EVT200002,CUST1202,SESS100703,2024-07-13 05:25:24.659301,checkout,view_page,5,,organic_search,False,False
EVT200003,CUST1191,SESS100305,2024-09-14 06:18:04.451444,home,purchase,8,,email,False,False
EVT200004,CUST1197,SESS103271,2024-05-24 10:28:18.090389,search_results,add_to_cart,10,,direct,True,False
EVT200005,CUST1191,SESS100742,2024-11-12 21:25:19.487999,checkout,view_page,5,shoes,google_ads,False,False
EVT200006,CUST1014,SESS100213,2024-11-30 11:17:03.307909,product,view_page,14,t-shirt,facebook,False,False
EVT200007,CUST1476,SESS100511,2025-02-11 05:34:38.254076,product,view_page,6,,instagram,False,False
EVT200008,CUST1429,SESS100986,2025-07-14 14:45:48.071491,category,click_product,11,headphones,instagram,False,False
EVT200009,CUST1405,SESS102807,2025-07-03 23:51:51.437629,home,click_product,9,,direct,False,False
EVT200010,CUST1070,SESS102951,2025-04-14 19:17:56.605430,category,begin_checkout,3,laptop,organic_search,False,False
EVT200011,CUST1146,SESS101100,2024-06-26 01:49:24.088567,category,begin_checkout,7,,email,False,False
EVT200012,CUST1356,SESS102415,2024-07-03 20:41:25.764363,category,view_page,7,,facebook,False,False
EVT200013,CUST1388,SESS104029,2025-02-07 06:15:03.669670,home,view_page,4,t-shirt,instagram,False,False
EVT200014,CUST1229,SESS104383,2024-04-02 06:23:51.516418,category,add_to_cart,2,,organic_search,True,False
EVT200015,CUST1463,SESS102612,2024-01-25 21:29:55.865978,category,view_page,2,,direct,False,False
EVT200016,CUST1009,SESS102928,2025-03-24 00:06:40.184969,category,view_page,4,,facebook,False,False
EVT200017,CUST1110,SESS102945,2024-03-23 19:50:56.822702,cart,view_page,4,,direct,False,False
