event_id,customer_id,session_id,event_datetime,page_type,action,page_views_in_session,search_query,referral_source,add_to_cart,abandoned_cart
evt200000,CUST1476,SESS104381,2024-01-13 19:27:54.452188,cart, purchase ,6.0,HEADPHONES,direct,False,False
EVT200001,CUST1212,SESS101918,2025-07-25 14:11:03.615540,search_results,view_page,4.0, nan ,nan,False,False
EVT200004,CUST1197,SESS103271,2024-05-24 10:28:18.090389,search_results,add_to_cart,10.0,,direct,True,False
evt200005,CUST1191,SESS100742,2024-11-12 21:25:19.487999, checkout ,view_page,5.0,SHOES,google_ads,False,False
evt200006,CUST1014,SESS100213,2024-11-30 11:17:03.307909,product,view_page,14.0, nan ,social,False,False
EVT200007,cust1476,SESS100511,2025-02-11 05:34:38.254076,product,view_page,47.353935293480475,,social,False,False
EVT200008,CUST1429,sess100986,2025-07-14 14:45:48.071491,category,click_product,11.0,HEADPHONES,social,False,True
evt200010,CUST1070,sess102951,2025-04-14 19:17:56.605430,category,begin_checkout,3.0,laptop,organic_search,False,False
EVT200011,CUST1146,SESS101100,2024-06-26 01:49:24.088567,category,begin_checkout,47.353935293480475,,email,False,False
 EVT200012 ,CUST1356,SESS102415,2024-07-03 20:41:25.764363,CATEGORY,view_page,7.0, nan ,social,False,False
EVT200013,CUST1388,SESS104029,2025-02-07 06:15:03.669670,home,view_page,4.0,t-shirt,social,False,True
 EVT200014 ,CUST1229,SESS104383,2024-04-02 06:23:51.516418,category,,2.0,,organic_search,True,False
evt200017,CUST1110,SESS102945,2024-03-23 19:50:56.822702,cart,view_page,4.0,,direct,False,False
EVT200020,cust1397,SESS101392,2025-05-02 06:28:37.217551,PRODUCT,add_to_cart,9.0,coffee mug,email,True,False
EVT200021,CUST1121,SESS100950,2025-05-07 14:06:22.409568,home,begin_checkout,14.0, t-shirt ,direct,True,True
EVT200023,CUST1122,sess104113,2024-08-28 12:09:56.462572,search_results,purchase,10.0,,organic_search,False,False
EVT200026,CUST1428,SESS102138,2024-06-05 20:21:15.069820,NAN, view_page ,11.0,COFFEE MUG,organic_search,False,False
EVT200027,CUST1305,SESS103385,2024-12-20 16:57:04.288566, CART ,VIEW_PAGE,11.0,,google_ads,False,False
EVT200028,CUST1008,sess104133,2025-05-07 18:16:32.943835,PRODUCT,view_page,1.0, coffee mug ,email,False,False
EVT200029,nan,SESS101999,2025-03-26 06:17:17.464774,category, click_product ,12.0,coffee mug,nan,False,False
EVT200030,CUST1367,SESS101677,2025-01-25 20:57:36.742261,cart,add_to_cart,2.0,,email,True,False
EVT200033,CUST1123,SESS100094,, search_results , add_to_cart ,7.0,headphones,google_ads,True,False
EVT200034,CUST1213,sess104950,2024-06-10 13:06:52.852955,,begin_checkout,, NAN ,email,False,False
EVT200036,cust1268,SESS102883,2025-02-21 16:44:38.303594,home, view_page ,1.0,,google_ads,False,False
,CUST1034,SESS102376,2025-04-16 18:19:34.596998,category,click_product,5.0,,organic_search,False,False
 nan ,CUST1278,SESS100307,2025-01-31 04:24:07.444232,product, view_page ,1.0,SHOES,google_ads,False,True
EVT200039,CUST1402,SESS102371,2025-01-31 04:57:07.444232,category,,4.0,t-shirt,social,False,False
EVT200040,CUST1283,SESS101648,2024-01-20 08:04:22.739477,checkout,begin_checkout,2.0, nan ,organic_search,False,False
 EVT200042 ,CUST1022,SESS102648,2024-11-19 12:59:12.582898,cart,,13.0,,direct,False,False
EVT200043,CUST1191,SESS101255,,product,click_product,14.0, nan ,social,False,False
,CUST1382,SESS104830,2024-09-18 11:35:08.637053, home ,view_page,9.0,NAN,social,False,False
EVT200045,CUST1182,SESS102142,2024-01-28 20:42:56.496784,home,view_page,10.0,,google_ads,False,False
EVT200046,CUST1176,SESS104089,,checkout,PURCHASE,12.0,headphones,social,False,False
EVT200047,CUST1375,SESS102807,2024-05-18 09:14:23.577132,product,remove_from_cart,13.0,t-shirt,social,False,False
 EVT200053 ,CUST1425,SESS101000,,, view_page ,2.0, nan ,google_ads,False,False
EVT200055,CUST1323,SESS101494,2025-08-16 08:38:45.070285,home, begin_checkout ,2.0,,email,False,False
evt200056,cust1415,SESS104522,2024-07-13 12:15:08.820107,checkout,purchase,1.0,coffee mug,social,False,False
EVT200057,CUST1032,SESS102629,2024-10-23 01:25:41.330140,search_results,view_page,3.0,t-shirt,social,False,False
evt200058,CUST1018,SESS101643,2025-06-17 12:39:25.614193,PRODUCT,ADD_TO_CART,7.0,t-shirt,social,True,False
EVT200059,CUST1103,SESS102542,2025-02-02 02:37:47.429852, PRODUCT , nan ,5.0,coffee mug,organic_search,False,False
EVT200060,CUST1405,SESS101305,2025-04-01 20:05:38.895978,search_results,add_to_cart,9.0,t-shirt,organic_search,True,False
,cust1453,sess100566,2024-07-13 22:52:12.663119, product ,BEGIN_CHECKOUT,5.0,NAN,social,False,False
EVT200063,cust1263,SESS100770,2025-01-30 09:50:45.745036,product,view_page,5.0, t-shirt ,direct,False,False
EVT200064,CUST1417,SESS100038,,home,view_page,9.0,COFFEE MUG,organic_search,False,False
EVT200065,CUST1242,SESS102099,2025-04-03 22:27:52.344758,,view_page,14.0,,social,False,False
EVT200066,CUST1018,SESS103234,2025-10-31 21:25:33.064829,product, view_page ,13.0, headphones ,social,False,False
EVT200067,CUST1146,SESS101388,, category ,view_page,4.0, headphones ,google_ads,False,False
 EVT200068 ,CUST1441,SESS101833,2024-11-22 03:25:51.532854, home ,view_page,5.0,,direct,False,False
evt200069,CUST1443,SESS100106,2025-02-25 23:46:53.501804,HOME,view_page,11.0,laptop,nan,False,False
 EVT200070 ,CUST1139,sess104693,2024-08-16 10:13:32.425716,home,view_page,6.0, t-shirt ,email,False,False
EVT200071,CUST1409,SESS103044,2024-01-18 07:55:31.714602, cart ,,8.0,coffee mug,organic_search,False,False
EVT200073,CUST1380,SESS104759,2024-01-03 14:34:19.752810, home ,CLICK_PRODUCT,10.0,,direct,False,False
,CUST1458,SESS101699,2025-02-16 20:23:58.708451, nan ,,10.0,,google_ads,False,False
evt200075,CUST1173,SESS102757,2024-09-17 23:40:03.709928, category ,add_to_cart,12.0,,direct,True,False
EVT200077,CUST1188,SESS104718,,category,CLICK_PRODUCT,47.353935293480475,,nan,False,False
EVT200078,CUST1136,SESS100338,2024-05-25 11:19:11.747553,PRODUCT,purchase,13.0,,email,False,False
EVT200080,CUST1040,SESS102718,2024-01-12 19:41:03.032419, search_results ,remove_from_cart,13.0,,organic_search,False,False
,CUST1279,SESS104826,2025-01-25 14:59:42.115829,category,view_page,2.0,NAN,google_ads,False,True
EVT200083,CUST1164,SESS100865,2025-02-20 22:42:54.852637,category,begin_checkout,9.0,headphones,social,False,False
EVT200084,CUST1040,SESS100357,, home ,view_page,14.0,laptop,direct,False,False
EVT200086,cust1156,SESS102538,2024-01-09 10:39:04.409201,search_results,view_page,1.0, coffee mug ,email,False,False
EVT200087,CUST1308,sess101622,2025-07-10 13:14:23.146148, home , view_page ,4.0,coffee mug,direct,False,False
EVT200088,CUST1085,SESS101121,2024-11-29 19:40:07.477987, CATEGORY ,view_page,14.0,shoes,google_ads,False,False
EVT200089,CUST1179,SESS104812,2025-04-17 14:01:49.557797,product,VIEW_PAGE,5.0, nan ,social,False,False
EVT200090,CUST1021,sess103787,2025-03-29 00:36:35.718953,home,remove_from_cart,, shoes ,email,False,False
EVT200092,CUST1140,sess101982,,CATEGORY,purchase,3.0,headphones,email,False,False
 EVT200094 ,CUST1186,SESS100850,2024-09-15 16:07:29.843424,,view_page,6.0,T-SHIRT,direct,False,False
EVT200095,CUST1410,sess104908,2025-01-29 02:00:01.677803, product ,view_page,7.0,,email,True,False
 EVT200098 ,CUST1017,SESS103982,2025-01-06 08:06:14.741365, search_results ,view_page,10.0,,google_ads,False,False
EVT200101,cust1185,SESS103735,2024-08-15 13:34:26.298546, cart ,click_product,14.0,laptop,social,False,False
 EVT200102 ,cust1486,SESS104848,,HOME,add_to_cart,11.0,,social,True,False
EVT200104,CUST1347,SESS104311,2025-05-14 15:00:54.375346,search_results, VIEW_PAGE ,3.0,,nan,False,False
