customer_id,name,location,device_type,account_creation_date,avg_session_time_min,wishlist_items_count
CUST1000,Customer 0,"Mumbai, India",mobile,2023-10-01 18:55:54.642209,7.8,3
CUST1001,Customer 1,"São Paulo, Brazil",desktop,2024-11-25 23:19:54.449960,21.5,4
CUST1002,Customer 2,"New York, USA",desktop,2024-06-19 02:06:06.174501,4.7,4
CUST1003,Customer 3,"New York, USA",mobile,2024-03-13 14:51:52.008310,26.2,1
CUST1004,Customer 4,"New York, USA",mobile,2023-04-25 01:11:27.700520,9.2,3
CUST1005,Customer 5,"Berlin, Germany",desktop,2023-04-25 00:46:04.313202,4.7,0
CUST1006,Customer 6,"Sydney, Australia",desktop,2023-02-12 11:01:08.010764,5.8,2
CUST1007,Customer 7,"Berlin, Germany",mobile,2024-09-25 04:11:39.485312,1.1,4
CUST1008,Customer 8,"Sydney, Australia",desktop,2024-03-15 09:57:42.357682,5.7,6
CUST1009,Customer 9,"Tokyo, Japan",desktop,2024-06-01 14:25:31.097474,0.4,3
CUST1010,Customer 10,"Berlin, Germany",mobile,2023-01-16 01:08:03.724532,14.5,2
CUST1011,Customer 11,"Berlin, Germany",mobile,2024-12-10 00:05:54.406788,11.4,4
CUST1012,Customer 12,"Mumbai, India",mobile,2024-08-31 12:22:25.284729,3.5,2
CUST1013,Customer 13,"London, UK",desktop,2023-06-05 05:16:38.487863,8.0,4
CUST1014,Customer 14,"Berlin, Germany",mobile,2023-05-13 21:56:14.008853,8.3,2
CUST1015,Customer 15,"Mumbai, India",mobile,2023-05-15 01:38:55.395127,2.9,6
CUST1016,Customer 16,"Toronto, Canada",desktop,2023-08-11 09:37:33.277736,7.0,2
CUST1017,Customer 17,"London, UK",desktop,2024-01-19 14:19:36.611602,8.5,0
CUST1018,Customer 18,"Tokyo, Japan",mobile,2023-11-12 18:02:36.265406,6.8,5
CUST1019,Customer 19,"Berlin, Germany",desktop,2023-08-01 21:19:26.528284,4.7,3
CUST1020,Customer 20,"São Paulo, Brazil",mobile,2024-03-23 06:20:49.866034,3.4,2
CUST1021,Customer 21,"New York, USA",desktop,2023-04-12 23:16:49.048606,6.6,5
CUST1022,Customer 22,"Toronto, Canada",mobile,2023-08-02 13:23:08.570047,5.2,4
CUST1023,Customer 23,"Toronto, Canada",mobile,2023-09-25 19:27:07.843480,12.6,4
CUST1024,Customer 24,"Tokyo, Japan",desktop,2023-11-30 09:17:30.491173,21.0,7
CUST1025,Customer 25,"Mumbai, India",mobile,2024-07-27 23:07:37.440044,15.8,2
CUST1026,Customer 26,"Toronto, Canada",mobile,2023-05-26 23:04:36.603070,8.7,2
