product_id,name,category,brand,color,material,cost_price,price,discount_percent,average_rating,stock_available,times_purchased,total_quantity_sold,total_revenue,avg_order_value_per_order,unique_customers,quantity_std
SKU10000,Product 0,clothing,Terra,Blue,Glass,106.34,181.04,0.0,3.24,205.0,19,55,9957.199999999999,524.0631578947368,18,1.448935887014454
SKU10001,Product 1,clothing,Terra,,Wood,125.37,250.6,0.0,2.03,381.0,20,56,14033.599999999999,701.68,20,1.6415653633362466
SKU10002,Product 2,home,Zenith,Grey,Polyester,41.26,63.29,0.0,4.43,110.0,29,77,4873.33,168.0458620689655,29,1.203443335628631
SKU10003,Product 3,home,Apex,Green,Cotton,129.91,213.33,0.0,1.85,403.0,27,83,17706.39,655.7922222222222,24,1.4121975762272057
SKU10005,Product 5,beauty,Vibe,Green,Plastic,132.7,372.16,15.0,,325.0,17,44,13592.48,799.5576470588235,16,1.3256518929102281
SKU10006,Product 6,food,Pulse,Green,Wood,171.61,308.92,0.0,3.1,499.0,18,54,6134.94,340.83,18,1.2366938848016846
SKU10007,Product 7,sports,Zenith,Blue,Leather,,113.61,0.0,2.8,198.0,16,44,5733.2,358.325,16,1.693123346560039
SKU10008,Product 8,books,Helios,Blue,Polyester,66.82,130.3,0.0,3.73,371.0,20,66,5793.48,289.674,18,1.2182817926554552
SKU10010,Product 10,beauty,Pulse,Grey,Glass,169.93,344.78,,4.14,88.0,23,62,21376.36,929.4069565217392,23,1.4596008983995234
SKU10011,Product 11,sports,Pulse,Green,Cotton,,450.65,20.0,2.54,159.0,18,50,22532.5,1251.8055555555557,17,1.0602749674192764
SKU10012,Product 12,beauty,Helios,Black,Leather,18.65,26.07,30.0,1.81,244.0,17,53,1381.7099999999998,81.2770588235294,17,1.45268514057488
SKU10013,Product 13,food,Helios,Yellow,Glass,6.45,9.95,0.0,4.6,244.0,19,55,547.25,28.80263157894737,19,1.4867838833500564
SKU10014,Product 14,books,Helios,Black,Glass,133.52,332.13,0.0,2.3,139.0,20,55,18267.15,913.3575000000001,20,1.51744244666721
SKU10015,Product 15,electronics,Zenith,Yellow,Wood,13.7,18.43,25.0,,61.0,17,53,976.79,57.45823529411764,16,1.3173056280328643
SKU10018,Product 18,books,Helios,Green,Metal,47.92,115.9,10.0,2.33,462.0,24,73,8460.7,352.5291666666667,24,1.4288690166235205
SKU10019,Product 19,sports,Terra,Blue,Glass,195.71,476.13,0.0,2.5,131.0,12,29,13807.77,1150.6475,12,1.0836246694508316
SKU10021,Product 21,beauty,Orion,Yellow,Plastic,174.62,247.78,5.0,1.81,256.0,16,43,10654.54,665.90875,16,1.4008925726121901
SKU10022,Product 22,beauty,Terra,Blue,Polyester,194.65,384.83,0.0,2.13,256.0,14,47,18087.010000000002,1291.929285714286,14,1.5984195491000024
SKU10024,Product 24,toys,Terra,Red,Metal,151.56,286.84,25.0,3.65,69.0,17,56,3717.8399999999997,218.6964705882353,17,1.6494205756247002
SKU10025,Product 25,toys,Nova,Pink,Glass,130.66,373.52,20.0,2.38,393.0,22,62,17784.079999999998,808.3672727272726,21,1.5317703308003936
SKU10026,product 26,toys,Zenith,Green,Cotton,150.92,375.54,0.0,4.04,471.0,23,58,21664.16,941.92,23,1.2011193725169755
SKU10028,Product 28,sports,Vibe,,Glass,99.76,258.05,20.0,4.48,368.0,34,100,25937.0,762.8529411764706,32,1.3693877523912967
SKU10031,Product 31,food,Orion,Blue,Wood,79.78,141.74,10.0,2.75,142.0,20,65,4317.95,215.89749999999998,19,1.371706582097068
SKU10033,Product 33,electronics,Helios,Yellow,Metal,33.22,96.43,5.0,1.84,424.0,22,59,1892.72,86.03272727272727,22,1.492405014489273
SKU10034,Product 34,beauty,Apex,Grey,Polyester,148.47,426.02,0.0,1.39,415.0,14,47,4532.21,323.7292857142857,14,1.446860944737466
SKU10037,Product 37,food,Nova,Blue,Polyester,,21.58,25.0,4.25,275.0,23,56,1208.48,52.54260869565218,22,1.5023038960368273
SKU10038,Product 38,beauty,Terra,Green,glass,110.1,296.39,0.0,,,18,52,15412.279999999999,856.2377777777778,18,1.3672165321380638
SKU10040,Product 40,beauty,Nova,Black,Wood,79.45,225.34,20.0,,319.0,12,30,6760.2,563.35,12,1.3142574813455417
SKU10041,Product 41,books,NOVA,Pink,Cotton,57.67,127.08,30.0,3.12,453.0,17,53,6735.24,396.1905882352941,17,1.4526851405748802
SKU10042,Product 42,toys,Terra,Green,Metal,57.86,84.96,0.0,3.43,103.0,21,68,5777.28,275.1085714285714,21,1.2611408289624877
SKU10043,Product 43,sports,Nova,Blue,Plastic,74.03,155.22,10.0,2.97,495.0,15,47,7295.34,486.356,15,1.7265434778633235
SKU10045,Product 45,home,Orion,Blue,Metal,48.89,69.8,0.0,4.73,432.0,11,34,17951.32,1631.9381818181819,11,1.1361818036340359
SKU10047,Product 47,sports,Zenith,Red,Leather,197.93,478.13,25.0,3.73,394.0,15,42,20081.46,1338.764,15,0.9411239481143201
SKU10048,Product 48,home,Orion,Pink,Leather,176.94,380.98,20.0,3.92,153.0,18,67,25525.66,1418.0922222222223,18,1.4473324572571655
SKU10050,Product 50,clothing,Apex,,Wood,128.5,217.61,15.0,1.74,196.0,13,48,3129.6,240.73846153846154,13,1.377474463442389
SKU10051,Product 51,home,Vibe,blue,Glass,26.75,65.2,30.0,2.37,399.0,17,44,9851.16,579.48,17,1.2776356840572631
SKU10053,Product 53,toys,Zenith,Red,Leather,101.53,223.89,30.0,2.07,,27,80,1071.2,39.67407407407408,26,1.531250908482782
SKU10055,Product 55,clothing,Nova,Black,Metal,7.03,13.39,10.0,3.92,85.0,18,53,1295.85,71.99166666666666,17,1.4337208778404378
SKU10059,Product 59,beauty,Nova,Yellow,Glass,184.38,520.41,0.0,4.11,85.0,23,60,17607.0,765.5217391304348,21,1.269900870676083
