sku,warehouse_location,stock_level,reorder_threshold,supplier,avg_shipping_time_days,return_rate_percent
SKU10000,WH-LON,202,51,UrbanTraders,5.6,9.99
SKU10001,WH-LON,236,67,PrimeWholesale,3.5,7.3
SKU10002,WH-TOR,188,32,PrimeWholesale,1.5,7.9
SKU10003,WH-NY,100,67,GlobalSupplyCo,1.5,14.75
SKU10004,WH-BER,260,76,FastTrack Logistics,4.0,4.67
SKU10005,WH-SYD,193,72,GlobalSupplyCo,6.4,4.37
SKU10005,WH-BER,150,50,FastTrack Logistics,4.0,3.84
SKU10006,WH-SYD,152,75,PrimeWholesale,4.1,5.84
SKU10006,WH-NY,174,30,GlobalSupplyCo,6.4,9.11
SKU10007,WH-SYD,80,35,UrbanTraders,6.4,6.75
SKU10008,WH-BER,280,57,UrbanTraders,4.6,9.49
SKU10009,WH-TOR,26,56,FastTrack Logistics,2.3,1.01
SKU10010,WH-SYD,116,23,FastTrack Logistics,4.8,0.27
SKU10011,WH-TOR,151,43,GlobalSupplyCo,6.4,4.39
SKU10012,WH-TOR,261,25,UrbanTraders,4.8,0.02
SKU10012,WH-NY,27,44,GlobalSupplyCo,5.1,5.82
SKU10013,WH-BER,93,23,GlobalSupplyCo,2.4,12.81
SKU10013,WH-SYD,255,30,GlobalSupplyCo,2.4,0.73
SKU10014,WH-TOR,119,74,PrimeWholesale,3.1,7.1
SKU10015,WH-TOR,237,65,PrimeWholesale,3.1,11.39
SKU10016,WH-TOR,90,38,FastTrack Logistics,5.8,0.12
SKU10016,WH-NY,65,66,UrbanTraders,4.5,1.76
SKU10017,WH-NY,50,61,UrbanTraders,3.2,8.19
SKU10018,WH-BER,102,66,GlobalSupplyCo,3.1,6.51
SKU10018,WH-NY,16,34,UrbanTraders,1.0,10.66
SKU10019,WH-SYD,126,22,FastTrack Logistics,5.4,2.59
SKU10019,WH-BER,242,34,FastTrack Logistics,6.9,11.22
SKU10020,WH-BER,269,78,UrbanTraders,5.8,12.44
SKU10021,WH-SYD,52,72,UrbanTraders,4.6,7.71
SKU10021,WH-TOR,298,69,PrimeWholesale,1.4,1.31
SKU10022,WH-SYD,82,51,UrbanTraders,2.9,14.73
SKU10022,WH-BER,274,28,PrimeWholesale,1.5,4.1
SKU10023,WH-LON,195,23,UrbanTraders,4.8,5.81
SKU10024,WH-SYD,118,71,UrbanTraders,2.6,13.63
SKU10025,WH-TOR,214,68,PrimeWholesale,5.4,11.96
SKU10025,WH-SYD,299,73,FastTrack Logistics,5.9,5.38
SKU10026,WH-SYD,162,31,UrbanTraders,3.6,8.05
SKU10026,WH-NY,131,58,GlobalSupplyCo,3.8,7.83
SKU10027,WH-TOR,272,46,GlobalSupplyCo,4.6,7.67
SKU10028,WH-TOR,229,45,PrimeWholesale,5.1,13.54
SKU10029,WH-NY,70,56,UrbanTraders,4.7,10.44
SKU10030,WH-BER,199,34,GlobalSupplyCo,5.6,13.03
SKU10031,WH-LON,75,36,FastTrack Logistics,4.2,11.25
SKU10031,WH-BER,78,71,FastTrack Logistics,3.0,13.43
SKU10032,WH-NY,123,43,GlobalSupplyCo,5.8,2.87
SKU10032,WH-BER,54,52,GlobalSupplyCo,1.0,2.38
SKU10033,WH-NY,257,23,GlobalSupplyCo,3.1,9.95
SKU10034,WH-TOR,234,70,UrbanTraders,5.5,3.41
SKU10034,WH-BER,274,33,PrimeWholesale,2.9,5.13
SKU10035,WH-NY,192,54,GlobalSupplyCo,3.0,4.8
SKU10036,WH-SYD,189,73,UrbanTraders,1.2,2.25
SKU10036,WH-BER,250,59,PrimeWholesale,4.1,4.54
SKU10037,WH-TOR,61,38,UrbanTraders,6.4,0.68
SKU10038,WH-SYD,160,34,FastTrack Logistics,2.8,3.91
SKU10038,WH-LON,168,30,UrbanTraders,4.9,11.1
SKU10039,WH-BER,83,50,GlobalSupplyCo,6.4,13.59
SKU10039,WH-NY,51,67,UrbanTraders,2.2,10.65
SKU10040,WH-NY,239,56,UrbanTraders,4.8,6.24
SKU10040,WH-SYD,188,30,FastTrack Logistics,5.0,13.22
SKU10041,WH-TOR,93,27,UrbanTraders,5.7,6.19
SKU10041,WH-BER,116,26,PrimeWholesale,3.0,7.09
SKU10042,WH-TOR,9,66,PrimeWholesale,5.2,11.17
SKU10042,WH-LON,259,39,UrbanTraders,4.7,0.64
SKU10043,WH-BER,192,32,UrbanTraders,6.4,0.8
SKU10044,WH-LON,25,76,PrimeWholesale,4.5,12.37
SKU10044,WH-BER,282,30,GlobalSupplyCo,1.7,10.97
SKU10045,WH-BER,290,58,UrbanTraders,6.7,7.48
SKU10045,WH-TOR,168,66,FastTrack Logistics,6.8,8.34
SKU10046,WH-TOR,206,46,GlobalSupplyCo,2.7,10.03
SKU10047,WH-SYD,245,52,GlobalSupplyCo,1.4,3.78
SKU10048,WH-TOR,196,71,UrbanTraders,2.0,7.39
SKU10049,WH-NY,81,29,PrimeWholesale,2.4,7.41
SKU10049,WH-BER,152,35,UrbanTraders,3.3,14.6
SKU10050,WH-NY,149,40,PrimeWholesale,2.5,4.51
SKU10051,WH-TOR,32,40,UrbanTraders,4.3,5.95
SKU10051,WH-SYD,56,62,GlobalSupplyCo,6.1,14.83
SKU10052,WH-SYD,273,30,PrimeWholesale,4.5,0.54
SKU10053,WH-NY,134,39,UrbanTraders,3.2,12.89
SKU10053,WH-BER,258,60,FastTrack Logistics,2.3,10.63
SKU10054,WH-TOR,46,49,GlobalSupplyCo,3.2,12.09
SKU10055,WH-SYD,26,33,PrimeWholesale,4.2,7.95
SKU10055,WH-LON,198,75,PrimeWholesale,5.5,3.53
SKU10056,WH-TOR,115,53,PrimeWholesale,3.6,6.21
SKU10056,WH-NY,255,74,PrimeWholesale,5.5,6.59
SKU10057,WH-BER,135,56,PrimeWholesale,4.7,12.26
SKU10057,WH-TOR,35,63,UrbanTraders,2.4,1.05
SKU10058,WH-TOR,80,42,FastTrack Logistics,5.6,4.22
SKU10059,WH-NY,172,23,PrimeWholesale,3.3,2.28
