customer_id,name,location,device_type,recency_days,total_orders,total_spend,avg_order_value,churn_risk_score
CUST1119,Customer 119,"Mumbai, India",desktop,469.0,4.0,2862.09,715.5225,0.8978260869565218
CUST1400,Customer 400,"London, UK",desktop,451.0,3.0,2661.66,887.2199999999999,0.8826086956521739
CUST1410,Customer 410,"Sydney, Australia",desktop,336.0,3.0,2387.3100000000004,795.7700000000001,0.7760869565217391
CUST1038,Customer 38,"New York, USA",mobile,276.0,3.0,2288.42,762.8066666666667,0.6956521739130435
CUST1436,Customer 436,"Mumbai, India",desktop,333.0,4.0,2281.64,570.41,0.7673913043478261
CUST1072,Customer 72,"Toronto, Canada",mobile,327.0,3.0,2165.95,721.9833333333332,0.7543478260869565
CUST1361,Customer 361,"Mumbai, India",mobile,319.0,2.0,2147.04,1073.52,0.7391304347826088
CUST1304,Customer 304,"Toronto, Canada",tablet,279.0,4.0,2093.97,523.4925,0.7
CUST1108,Customer 108,"Mumbai, India",mobile,293.0,4.0,2035.06,508.765,0.7108695652173913
CUST1457,Customer 457,"Sydney, Australia",mobile,422.0,2.0,1971.22,985.61,0.8652173913043478
CUST1351,Customer 351,"Tokyo, Japan",tablet,280.0,3.0,1843.33,614.4433333333334,0.7043478260869566
CUST1176,Customer 176,"São Paulo, Brazil",mobile,311.0,2.0,1817.36,908.68,0.7239130434782609
CUST1378,Customer 378,"Mumbai, India",mobile,550.0,2.0,1790.42,895.21,0.9478260869565217
CUST1293,Customer 293,"New York, USA",desktop,448.0,3.0,1774.49,591.4966666666667,0.8760869565217392
CUST1264,Customer 264,"Mumbai, India",desktop,384.0,1.0,1681.16,1681.16,0.8282608695652174
CUST1335,Customer 335,"Mumbai, India",mobile,449.0,3.0,1606.64,535.5466666666667,0.8782608695652174
CUST1168,Customer 168,"London, UK",desktop,479.0,2.0,1571.75,785.875,0.9043478260869565
CUST1166,Customer 166,"Berlin, Germany",mobile,318.0,2.0,1564.8000000000002,782.4000000000001,0.7369565217391304
CUST1210,Customer 210,"New York, USA",mobile,609.0,2.0,1548.52,774.26,0.9717391304347827
CUST1365,Customer 365,"Mumbai, India",mobile,397.0,3.0,1524.75,508.25,0.841304347826087
CUST1010,Customer 10,"Berlin, Germany",mobile,321.0,3.0,1497.26,499.0866666666666,0.7456521739130435
CUST1282,Customer 282,"New York, USA",mobile,443.0,2.0,1465.06,732.53,0.8739130434782609
CUST1107,Customer 107,"Mumbai, India",mobile,366.0,3.0,1366.61,455.5366666666666,0.808695652173913
CUST1076,Customer 76,"Mumbai, India",mobile,633.0,1.0,1345.74,1345.74,0.9804347826086957
CUST1171,Customer 171,"London, UK",mobile,320.0,2.0,1336.14,668.0699999999999,0.741304347826087
CUST1339,Customer 339,"Mumbai, India",mobile,275.0,2.0,1310.03,655.015,0.6934782608695652
CUST1114,Customer 114,"São Paulo, Brazil",mobile,359.0,4.0,1296.78,324.195,0.8043478260869565
CUST1199,Customer 199,"Berlin, Germany",mobile,332.0,3.0,1271.56,423.8533333333333,0.7630434782608696
CUST1446,Customer 446,"Tokyo, Japan",tablet,332.0,3.0,1239.14,413.0466666666667,0.7652173913043478
CUST1459,Customer 459,"London, UK",tablet,307.0,2.0,1226.9,613.45,0.717391304347826
CUST1235,Customer 235,"Sydney, Australia",mobile,380.0,1.0,1225.87,1225.87,0.8217391304347826
CUST1154,Customer 154,"Tokyo, Japan",mobile,354.0,5.0,1177.52,235.504,0.7956521739130434
CUST1265,Customer 265,"London, UK",desktop,430.0,3.0,1171.4,390.4666666666667,0.8695652173913043
CUST1257,Customer 257,"London, UK",desktop,451.0,2.0,1146.61,573.305,0.8804347826086957
CUST1319,Customer 319,"London, UK",mobile,352.0,3.0,1093.41,364.47,0.7913043478260869
CUST1115,Customer 115,"São Paulo, Brazil",mobile,329.0,3.0,1060.63,353.5433333333333,0.7565217391304347
CUST1327,Customer 327,"Berlin, Germany",desktop,323.0,3.0,1059.77,353.25666666666666,0.75
CUST1411,Customer 411,"Toronto, Canada",mobile,286.0,3.0,1058.16,352.72,0.7086956521739131
CUST1219,Customer 219,"London, UK",mobile,383.0,3.0,1034.1,344.7,0.8260869565217391
CUST1475,Customer 475,"Tokyo, Japan",desktop,401.0,2.0,1011.49,505.745,0.8478260869565217
CUST1139,Customer 139,"New York, USA",mobile,398.0,2.0,1000.76,500.38,0.8456521739130435
CUST1229,Customer 229,"London, UK",mobile,336.0,2.0,998.5,499.25,0.7739130434782608
CUST1375,Customer 375,"Berlin, Germany",mobile,658.0,1.0,921.76,921.76,0.9934782608695653
CUST1061,Customer 61,"Berlin, Germany",desktop,475.0,1.0,917.08,917.08,0.9
CUST1357,Customer 357,"London, UK",desktop,497.0,4.0,905.94,226.485,0.9217391304347826
CUST1214,Customer 214,"Toronto, Canada",mobile,353.0,3.0,889.12,296.37333333333333,0.7934782608695652
CUST1191,Customer 191,"London, UK",mobile,480.0,2.0,880.0999999999999,440.05,0.9065217391304348
CUST1314,Customer 314,"Mumbai, India",mobile,299.0,2.0,876.85,438.425,0.7152173913043478
CUST1200,Customer 200,"Berlin, Germany",desktop,371.0,1.0,874.22,874.22,0.8130434782608695
CUST1234,Customer 234,"Toronto, Canada",desktop,355.0,2.0,831.01,415.505,0.7978260869565218
