name,category,brand,discount_percent,average_rating,cost_price
PRODUCT 172,clothing,Zenith,20.0,3.04,163.31
PRODUCT 198,books,Acme,20.0,3.0,136.6
product 165,clothing,terra,15.0,3.14,20.91
Product 15,sports,Helios,97.90983460235884,3.6,24.11
PRODUCT 64,beauty,Helios,97.90983460235884,4.31,157.57
Product 182,electronics,NOVA,97.90983460235884,3.97,115.1
Product 3,clothing,NAN,97.90983460235884,3.59,79.64
PRODUCT 18,sports,Zenith,30.0,3.88,110.55
Product 34,books,HELIOS,30.0,3.21,32.8
Product 67,home & kitchen,NOVA,30.0,3.45,
Product 68,books,Zenith,30.0,3.82,
product 77,,nova,30.0,4.54,86.9
product 133,beauty,Nova,30.0,3.38,148.25
Product 147,sports,Zenith,30.0,3.52,173.02
Product 193,sports,Acme,30.0,4.67,54.96
Product 195,home & kitchen,Acme,30.0,4.82,31.93
Product 13,electronics,Orion,20.0,3.61,192.16
Product 14,books,Acme,20.0,,14.5
PRODUCT 29,beauty,zenith,20.0,3.59,52.94
product 36,sports,,20.0,3.98,113.17
product 38,,Helios,20.0,,5.82
PRODUCT 42,home & kitchen,Zenith,20.0,3.26,100.48
Product 43,home & kitchen,Nova,20.0,4.48,86.01
Product 45,sports,zenith,20.0,3.63,
Product 73,books,Terra,20.0,4.76,40.27
PRODUCT 84,electronics,ORION,20.0,4.65,32.3
Product 85,home & kitchen,Zenith,20.0,4.72,86.08
Product 86,books,Helios,20.0,3.93,111.97
Product 156,home & kitchen,Helios,20.0,4.52,40.25
product 163,electronics,ZENITH,20.0,9.857120778600729,88.17
product 0,beauty,terra,15.0,,82.57
Product 24,,NAN,15.0,3.5,20.05
Product 31,books,,15.0,3.86,197.95
Product 41,beauty,Nova,15.0,3.87,85.1
Product 58,electronics,ZENITH,15.0,4.72,111.65
PRODUCT 75,sports,ZENITH,15.0,4.08,70.17
Product 79,clothing,Helios,15.0,4.18,167.36
Product 88,electronics,Helios,15.0,4.89,
product 96,books,TERRA,15.0,4.63,176.52
PRODUCT 106,clothing,Acme,15.0,4.43,117.24
Product 109,home & kitchen,Orion,15.0,3.99,112.93
Product 135,clothing,nova,15.0,4.9,119.04
Product 155,books,NAN,15.0,3.61,116.56
Product 166,sports,Orion,15.0,4.32,22.12
Product 169,sports,Helios,15.0,3.99,46.73
PRODUCT 171,home & kitchen,Orion,15.0,3.6,83.06
Product 175,sports,HELIOS,15.0,4.91,135.43
Product 186,electronics,Terra,15.0,3.44,199.41
Product 190,electronics,NAN,15.0,4.79,14.6
product 194,home & kitchen,Nova,15.0,3.99,48.03
