customer_id,name,location,device_type,total_orders,total_spend,avg_order_value,recency_days,top_product_id
NAN,Customer 446,"Tokyo, Japan",,14.0,4994.8,356.7714285714286,51.0,SKU10121
CUST1299,Customer 299,"Toronto, Canada",mobile,4.0,3558.62,889.655,0.0,SKU10109
CUST1400,CUSTOMER 400,"London, UK",desktop,3.0,2661.66,887.2199999999999,545.0,SKU10105
CUST1038,,"New York, USA",mobile,3.0,2288.42,762.8066666666667,591.0,NAN
CUST1206,Customer 206,"Berlin, Germany",mobile,4.0,2238.7,559.675,0.0,SKU10069
CUST1294,CUSTOMER 294,"sydney, australia",desktop,4.0,2114.09,528.5225,0.0,SKU10097
CUST1108,Customer 108,"mumbai, india",mobile,4.0,2035.06,508.765,0.0,SKU10039
CUST1343,Customer 343,,mobile,5.0,1963.53,392.706,77.0,SKU10165
CUST1194,,"toronto, canada",,3.0,1836.34,612.1133333333333,456.0,SKU10086
CUST1007,Customer 7,"Berlin, Germany",,2.0,1723.19,861.595,0.0,SKU10184
CUST1046,,"London, UK",desktop,4.0,1718.56,429.64,118.0,SKU10056
CUST1092,Customer 92,"Tokyo, Japan",mobile,2.0,1697.63,565.8766666666667,0.0,SKU10036
CUST1382,Customer 382,"London, UK",mobile,2.0,1692.52,846.26,0.0,SKU10080
CUST1119,Customer 119,"Mumbai, India",desktop,2.0,1663.64,831.8199999999999,0.0,SKU10136
CUST1026,Customer 26,"Toronto, Canada",mobile,3.0,1618.58,539.5266666666666,88.0,SKU10052
CUST1335,customer 335,"Mumbai, India",mobile,3.0,1606.64,535.5466666666667,0.0,SKU10019
CUST1058,Customer 58,"MUMBAI, INDIA",mobile,6.0,1581.21,263.535,254.0,SKU10016
CUST1166,Customer 166,"Berlin, Germany",mobile,2.0,1564.8000000000002,782.4000000000001,0.0,SKU10198
CUST1216,Customer 216,"mumbai, india",desktop,4.0,1550.74,387.685,0.0,SKU10046
CUST1312,Customer 312,"New York, USA",desktop,2.0,1511.0300000000002,755.5150000000001,414.0,SKU10040
CUST1359,Customer 359,"São Paulo, Brazil",,2.0,1441.39,720.6949999999999,0.0,SKU10116
CUST1301,Customer 301,"Sydney, Australia",mobile,4.0,1431.78,357.945,0.0,SKU10102
CUST1425,Customer 425,,mobile,3.0,1411.94,470.6466666666667,231.0,SKU10160
CUST1078,Customer 78,"Mumbai, India",desktop,3.0,1408.47,469.49,0.0,SKU10160
CUST1305,Customer 305,"São Paulo, Brazil",mobile,2.0,1403.96,701.98,140.0,SKU10111
