payment_id,order_id,customer_id,payment_provider,payment_type,transaction_fee,currency,exchange_rate_to_usd,refunded,refund_amount
PAY6000,ORD5000,CUST1327,visa,paypal,23.05,GBP,1.0022,True,706.26
PAY6001,ORD5001,CUST1012,paypal,wallet,11.48,USD,0.732,False,0.0
PAY6002,ORD5002,CUST1140,stripe,credit_card,9.23,CAD,1.0125,False,0.0
PAY6003,ORD5003,CUST1114,stripe,paypal,15.71,CAD,1.0684,False,0.0
PAY6004,ORD5004,CUST1377,amex,credit_card,3.61,EUR,1.1234,False,0.0
PAY6005,ORD5005,CUST1346,stripe,paypal,48.98,USD,1.2251,False,0.0
PAY6006,ORD5006,CUST1456,amex,paypal,2.46,USD,1.1637,False,0.0
PAY6007,ORD5007,CUST1044,mastercard,paypal,17.81,USD,1.1823,False,0.0
PAY6008,ORD5008,CUST1216,stripe,credit_card,2.62,EUR,0.7567,False,0.0
PAY6009,ORD5009,CUST1015,mastercard,wallet,2.15,USD,1.0543,False,0.0
PAY6010,ORD5010,CUST1111,mastercard,credit_card,11.64,USD,1.1426,False,0.0
PAY6011,ORD5011,CUST1258,stripe,credit_card,19.39,CAD,1.181,False,0.0
PAY6012,ORD5012,CUST1013,amex,credit_card,4.74,USD,1.2181,True,421.32
PAY6013,ORD5013,CUST1101,amex,credit_card,2.65,CAD,1.0066,False,0.0
PAY6014,ORD5014,CUST1332,visa,bank_transfer,1.05,USD,0.971,False,0.0
PAY6015,ORD5015,CUST1279,paypal,wallet,2.32,CAD,0.8896,False,0.0
PAY6016,ORD5016,CUST1112,visa,bank_transfer,4.72,USD,1.2518,True,162.11
PAY6017,ORD5017,CUST1301,paypal,credit_card,5.19,USD,0.8484,False,0.0
PAY6018,ORD5018,CUST1414,stripe,credit_card,7.26,USD,1.0492,False,0.0
PAY6019,ORD5019,CUST1388,stripe,credit_card,15.14,CAD,0.7981,True,497.7
PAY6020,ORD5020,CUST1357,mastercard,credit_card,4.95,EUR,1.2857,False,0.0
PAY6021,ORD5021,CUST1174,mastercard,bank_transfer,3.85,USD,1.1538,False,0.0
PAY6022,ORD5022,CUST1079,visa,credit_card,4.4,USD,1.0214,False,0.0
PAY6023,ORD5023,CUST1490,visa,credit_card,4.62,EUR,0.9456,False,0.0
PAY6024,ORD5024,CUST1172,amex,paypal,1.12,USD,1.2567,False,0.0
PAY6025,ORD5025,CUST1047,visa,credit_card,3.46,EUR,0.9924,True,304.07
PAY6026,ORD5026,CUST1049,stripe,credit_card,9.62,CAD,1.236,False,0.0
PAY6027,ORD5027,CUST1433,mastercard,paypal,7.09,EUR,0.7607,True,358.9
PAY6028,ORD5028,CUST1309,stripe,credit_card,14.39,USD,0.8875,False,0.0
PAY6029,ORD5029,CUST1413,amex,credit_card,24.05,EUR,1.2619,False,0.0
PAY6030,ORD5030,CUST1373,paypal,wallet,2.97,EUR,0.8674,False,0.0
PAY6031,ORD5031,CUST1274,amex,credit_card,24.1,USD,0.7198,False,0.0
PAY6032,ORD5032,CUST1498,paypal,bank_transfer,6.46,USD,0.8924,False,0.0
PAY6033,ORD5033,CUST1040,amex,paypal,6.91,USD,1.0242,False,0.0
PAY6034,ORD5034,CUST1150,visa,credit_card,4.91,CAD,0.7951,False,0.0
PAY6035,ORD5035,CUST1316,paypal,paypal,4.26,CAD,1.0503,False,0.0
PAY6036,ORD5036,CUST1295,paypal,bank_transfer,3.68,USD,0.8806,False,0.0
PAY6037,ORD5037,CUST1360,paypal,credit_card,2.92,USD,0.8204,False,0.0
