sku,name,category,brand,color,material,cost_price,retail_price,discount_percent,average_rating,stock_available
SKU10000,Product 0,Beauty,Terra,Green,Cotton,82.57,180.45,15,3.89,296
SKU10001,Product 1,Books,Terra,Green,Cotton,104.78,229.27,0,3.05,489
SKU10002,Product 2,Books,Helios,Blue,Plastic,99.24,159.42,15,3.9,177
SKU10003,Product 3,Clothing,Terra,Red,Cotton,79.64,138.09,0,3.59,214
SKU10004,Product 4,Sports,Orion,Black,Plastic,168.63,248.33,0,4.86,454
SKU10005,Product 5,Clothing,Helios,Blue,Plastic,33.34,82.33,0,3.25,314
SKU10006,Product 6,Beauty,Zenith,Red,Metal,103.61,211.29,0,4.3,38
SKU10007,Product 7,Sports,Orion,White,Leather,17.1,41.29,0,3.11,258
SKU10008,Product 8,Sports,Acme,Green,Wood,18.88,30.09,0,3.89,203
SKU10009,Product 9,Clothing,Nova,Black,Leather,116.9,259.11,10,4.11,6
SKU10010,Product 10,Clothing,Zenith,Gray,Leather,115.37,253.32,0,3.6,48
SKU10011,Product 11,Electronics,Zenith,Black,Metal,176.22,369.91,5,3.91,25
SKU10012,Product 12,Beauty,Zenith,Gray,Plastic,113.79,279.38,0,3.33,160
SKU10013,Product 13,Electronics,Orion,Black,Plastic,192.16,328.9,20,3.61,356
SKU10014,Product 14,Books,Acme,Green,Cotton,14.5,19.86,20,4.24,175
SKU10015,Product 15,Sports,Helios,Gray,Metal,24.11,49.99,5,3.6,78
SKU10016,Product 16,Clothing,Acme,Red,Cotton,13.59,29.2,0,4.8,1
SKU10017,Product 17,Sports,Orion,Gray,Metal,41.13,80.1,0,4.26,488
SKU10018,Product 18,Sports,Zenith,Blue,Cotton,110.55,162.38,30,3.88,382
SKU10019,Product 19,Home & Kitchen,Nova,Red,Polyester,130.89,242.9,0,3.08,454
SKU10020,Product 20,Books,Zenith,Blue,Leather,13.89,22.3,0,4.0,415
SKU10021,Product 21,Home & Kitchen,Helios,Black,Leather,189.46,332.64,0,4.53,131
SKU10022,Product 22,Sports,Terra,Red,Wood,169.22,345.01,0,3.53,275
SKU10023,Product 23,Clothing,Nova,Black,Plastic,62.84,136.28,0,4.61,497
SKU10024,Product 24,Sports,Zenith,White,Wood,20.05,30.12,15,3.5,116
SKU10025,Product 25,Books,Nova,Black,Polyester,38.13,65.84,0,4.65,163
SKU10026,Product 26,Home & Kitchen,Terra,Black,Wood,29.75,46.12,10,3.17,287
SKU10027,Product 27,Clothing,Acme,Blue,Leather,29.04,42.35,0,4.73,27
SKU10028,Product 28,Sports,Orion,Gray,Plastic,106.12,235.42,0,4.0,332
SKU10029,Product 29,Beauty,Zenith,White,Polyester,52.94,126.11,20,3.59,0
SKU10030,Product 30,Books,Helios,Black,Leather,74.84,125.82,0,3.53,187
SKU10031,Product 31,Books,Acme,Black,Cotton,197.95,430.88,15,3.86,55
SKU10032,Product 32,Beauty,Zenith,White,Metal,138.44,327.57,5,5.0,34
SKU10033,Product 33,Sports,Acme,White,Polyester,190.05,437.11,0,3.44,111
SKU10034,Product 34,Books,Helios,Red,Plastic,32.8,47.15,30,3.21,285
SKU10035,Product 35,Clothing,Zenith,Blue,Wood,79.52,194.27,0,4.17,309
SKU10036,Product 36,Sports,Terra,White,Wood,113.17,191.23,20,3.98,35
SKU10037,Product 37,Sports,Terra,White,Polyester,19.97,32.77,0,4.05,438
SKU10038,Product 38,Home & Kitchen,Helios,Green,Plastic,5.82,7.45,20,4.33,216
SKU10039,Product 39,Books,Nova,Gray,Polyester,135.73,248.67,0,3.53,79
SKU10040,Product 40,Books,Helios,White,Plastic,130.15,174.63,5,4.82,313
SKU10041,Product 41,Beauty,Nova,Blue,Wood,85.1,129.62,15,3.87,82
SKU10042,Product 42,Home & Kitchen,Zenith,Gray,Leather,100.48,161.98,20,3.26,64
SKU10043,Product 43,Home & Kitchen,Nova,Gray,Cotton,86.01,193.65,20,4.48,324
SKU10044,Product 44,Books,Zenith,Black,Leather,9.68,22.64,15,4.29,127
SKU10045,Product 45,Sports,Zenith,Black,Cotton,70.4,112.16,20,3.63,306
SKU10046,Product 46,Home & Kitchen,Orion,Black,Wood,39.53,91.57,0,4.24,21
SKU10047,Product 47,Beauty,Zenith,Black,Leather,24.19,55.99,0,3.44,215
SKU10048,Product 48,Home & Kitchen,Nova,Green,Leather,191.56,420.29,0,3.89,106
SKU10049,Product 49,Beauty,Orion,White,Polyester,121.88,169.49,0,4.8,108
SKU10050,Product 50,Home & Kitchen,Orion,Black,Metal,147.09,308.51,0,3.27,371
SKU10051,Product 51,Beauty,Zenith,Red,Wood,66.5,161.49,5,3.77,356
SKU10052,Product 52,Home & Kitchen,Helios,Black,Plastic,81.66,170.46,0,4.64,180
SKU10053,Product 53,Home & Kitchen,Helios,White,Wood,51.2,83.51,10,4.94,355
SKU10054,Product 54,Clothing,Terra,Black,Plastic,23.91,44.25,0,3.91,163
SKU10055,Product 55,Beauty,Orion,Green,Plastic,39.91,81.4,0,4.01,67
SKU10056,Product 56,Beauty,Zenith,Blue,Cotton,160.52,299.16,5,4.14,291
SKU10057,Product 57,Beauty,Helios,Blue,Plastic,137.12,185.93,15,4.86,179
SKU10058,Product 58,Electronics,Zenith,White,Plastic,111.65,179.28,15,4.72,180
SKU10059,Product 59,Home & Kitchen,Zenith,Blue,Polyester,97.64,219.02,10,3.34,465
SKU10060,Product 60,Beauty,Orion,Blue,Leather,184.87,428.88,0,3.87,433
SKU10061,Product 61,Books,Terra,Red,Wood,19.18,26.44,5,3.93,463
SKU10062,Product 62,Electronics,Orion,White,Wood,59.72,145.6,0,4.58,168
SKU10063,Product 63,Clothing,Acme,White,Plastic,73.24,119.19,0,4.21,401
SKU10064,Product 64,Beauty,Helios,Blue,Metal,157.57,324.76,5,4.31,21
SKU10065,Product 65,Beauty,Helios,Blue,Wood,198.54,432.3,0,5.0,65
SKU10066,Product 66,Electronics,Helios,Blue,Plastic,51.93,117.13,0,3.15,20
SKU10067,Product 67,Home & Kitchen,Nova,Gray,Cotton,175.49,426.35,30,3.45,99
SKU10068,Product 68,Books,Zenith,Green,Cotton,166.97,268.29,30,3.82,383
SKU10069,Product 69,Clothing,Orion,Black,Cotton,48.81,113.04,0,3.7,299
SKU10070,Product 70,Beauty,Helios,Green,Plastic,82.87,113.63,0,3.04,102
SKU10071,Product 71,Home & Kitchen,Acme,White,Polyester,84.89,179.67,0,3.18,46
SKU10072,Product 72,Books,Helios,Red,Metal,195.75,423.72,0,4.36,38
SKU10073,Product 73,Books,Terra,Black,Plastic,40.27,83.81,20,4.76,284
SKU10074,Product 74,Clothing,Zenith,Red,Polyester,160.84,245.76,0,4.03,309
SKU10075,Product 75,Sports,Zenith,Gray,Polyester,70.17,163.84,15,4.08,89
SKU10076,Product 76,Books,Orion,White,Wood,147.52,209.41,0,3.51,84
SKU10077,Product 77,Sports,Nova,Gray,Plastic,86.9,110.34,30,4.54,272
SKU10078,Product 78,Books,Orion,White,Plastic,117.78,251.19,0,4.5,335
SKU10079,Product 79,Clothing,Helios,Red,Polyester,167.36,304.28,15,4.18,187
SKU10080,Product 80,Electronics,Terra,Red,Polyester,161.81,372.79,0,3.43,158
SKU10081,Product 81,Clothing,Acme,Red,Polyester,173.95,295.44,10,3.19,242
SKU10082,Product 82,Clothing,Orion,White,Wood,16.63,23.59,0,3.13,72
SKU10083,Product 83,Electronics,Nova,Blue,Plastic,139.95,320.12,0,4.19,478
SKU10084,Product 84,Electronics,Orion,Red,Polyester,32.3,61.8,20,4.65,461
SKU10085,Product 85,Home & Kitchen,Zenith,Gray,Cotton,86.08,124.47,20,4.72,48
SKU10086,Product 86,Books,Helios,Black,Plastic,111.97,239.23,20,3.93,100
SKU10087,Product 87,Home & Kitchen,Helios,White,Wood,83.53,155.75,10,4.57,1
SKU10088,Product 88,Electronics,Helios,Gray,Cotton,106.32,211.12,15,4.89,243
SKU10089,Product 89,Sports,Helios,Green,Leather,199.32,358.61,0,3.55,175
SKU10090,Product 90,Sports,Helios,Green,Plastic,31.37,71.43,0,3.8,237
SKU10091,Product 91,Clothing,Helios,Black,Leather,136.71,311.49,0,4.86,397
SKU10092,Product 92,Beauty,Acme,Blue,Polyester,82.22,174.49,10,3.68,58
SKU10093,Product 93,Clothing,Nova,Red,Wood,30.94,41.36,0,4.83,352
SKU10094,Product 94,Clothing,Helios,White,Polyester,35.95,82.35,0,4.96,98
SKU10095,Product 95,Beauty,Nova,Gray,Wood,190.11,393.96,10,4.32,441
SKU10096,Product 96,Books,Terra,Red,Metal,176.52,371.78,15,4.63,358
SKU10097,Product 97,Electronics,Helios,Gray,Polyester,181.87,304.07,0,4.5,441
SKU10098,Product 98,Sports,Orion,White,Leather,198.35,464.74,0,4.4,494
SKU10099,Product 99,Clothing,Helios,Green,Wood,45.62,97.77,0,3.61,434
SKU10100,Product 100,Beauty,Zenith,Red,Polyester,74.31,100.05,0,3.11,467
SKU10101,Product 101,Home & Kitchen,Acme,Black,Plastic,135.5,234.43,0,3.69,1
SKU10102,Product 102,Clothing,Orion,Blue,Wood,99.34,233.68,10,4.33,242
SKU10103,Product 103,Sports,Orion,Black,Wood,86.59,109.22,10,3.21,296
SKU10104,Product 104,Electronics,Zenith,Blue,Polyester,74.77,183.18,10,3.02,210
SKU10105,Product 105,Clothing,Helios,Gray,Metal,120.79,251.59,0,3.28,122
SKU10106,Product 106,Clothing,Acme,Red,Polyester,117.24,236.92,15,4.43,228
SKU10107,Product 107,Books,Orion,Red,Leather,36.48,56.61,0,4.95,81
SKU10108,Product 108,Beauty,Acme,Blue,Leather,96.99,147.76,5,4.97,143
SKU10109,Product 109,Home & Kitchen,Orion,Green,Wood,112.93,273.81,15,3.99,387
SKU10110,Product 110,Home & Kitchen,Helios,White,Wood,116.21,184.51,0,4.74,139
SKU10111,Product 111,Electronics,Terra,Black,Polyester,45.97,101.51,0,4.47,28
SKU10112,Product 112,Sports,Orion,Gray,Leather,149.74,256.22,20,4.0,390
SKU10113,Product 113,Electronics,Terra,Black,Leather,9.91,13.69,0,4.15,269
SKU10114,Product 114,Clothing,Orion,Black,Metal,74.19,90.06,10,3.27,246
SKU10115,Product 115,Clothing,Nova,Gray,Plastic,157.14,299.75,0,4.88,11
SKU10116,Product 116,Home & Kitchen,Helios,Gray,Metal,114.96,283.78,10,3.7,354
SKU10117,Product 117,Sports,Zenith,Red,Cotton,55.93,93.95,0,3.89,388
SKU10118,Product 118,Beauty,Terra,Black,Metal,140.52,233.87,0,4.34,336
SKU10119,Product 119,Sports,Zenith,White,Polyester,115.64,190.5,10,3.67,105
SKU10120,Product 120,Clothing,Helios,White,Plastic,160.27,300.78,0,3.51,31
SKU10121,Product 121,Beauty,Zenith,Blue,Polyester,148.33,262.97,0,4.26,73
SKU10122,Product 122,Sports,Helios,Gray,Cotton,123.97,290.57,0,3.05,170
SKU10123,Product 123,Sports,Zenith,Red,Plastic,100.19,186.08,0,4.44,336
SKU10124,Product 124,Beauty,Terra,White,Wood,30.97,57.61,0,4.03,68
SKU10125,Product 125,Clothing,Nova,Green,Leather,55.96,77.22,0,4.21,300
SKU10126,Product 126,Sports,Zenith,Red,Metal,86.72,214.87,20,4.26,361
SKU10127,Product 127,Beauty,Terra,Red,Polyester,121.86,185.84,0,4.05,136
