date,campaign_id,channel,campaign_name,impressions,clicks,spend,sessions,orders,attributed_revenue
2025-12-09,CAMP3000,social,Summer Blowout 2026,683.0,33.0,344.26,6.0,0.0,0.0
2025-12-10,CAMP3000,social,Summer Blowout 2026,302.0,14.0,152.54,9.0,0.0,0.0
2025-12-11,CAMP3000,social,Summer Blowout 2026,591.0,28.0,297.82,7.0,1.0,72.14
2025-12-12,,social,Summer Blowout 2026,387.0,18.0,195.04,14.0,2.0,
2025-12-13,CAMP3000,social, Summer Blowout 2026 ,364.0,17.0,183.54,6.0,0.0,0.0
2025-12-14,,social,Summer Blowout 2026,566.0,27.0,285.42,6.0,,0.0
2025-12-15,CAMP3000,social,Summer Blowout 2026,419.0,20.0,211.08,12.0,0.0,0.0
2025-12-16,,social,Summer Blowout 2026,509.0,24.0,256.38,9.0,0.0,0.0
2025-12-17,CAMP3000,social,Summer Blowout 2026,742.0,36.0,373.95,0.0,1.0,
2025-12-18,CAMP3000,social,Summer Blowout 2026,825.0,40.0,415.78,14.0,2.0,211.26
2025-12-19,CAMP3000,social,Summer Blowout 2026,682.0,33.0,343.87,14.0,2.0,218.88
2025-12-20,CAMP3000,social,Summer Blowout 2026,697.0,33.0,351.49,9.0,0.0,
2025-12-21,CAMP3000,social,Summer Blowout 2026,663.0,32.0,334.17,12.0,1.0,97.03
2025-12-22,CAMP3000,social,Summer Blowout 2026,391.0,19.0,197.34,12.0,,0.0
2025-12-23,CAMP3000,social,Summer Blowout 2026,536.0,26.0,270.32,2.0,1.0,111.5
2025-04-14,CAMP3001,email,Cyber Monday Deals,1142.0,0.0,113.6,12.0,0.0,0.0
2025-04-15,CAMP3001,email,Cyber Monday Deals,726.0,0.0,72.25,12.0,0.0,0.0
2025-04-16,CAMP3001,email,Cyber Monday Deals,1082.0,0.0,107.65,7.0,0.0,0.0
2025-04-17,CAMP3001,email,Cyber Monday Deals,,0.0,103.88,9.0,1.0,186.39
2025-04-18,CAMP3001,email,Cyber Monday Deals,690.0,0.0,68.71,8.0,1.0,92.72
,camp3001,email,Cyber Monday Deals,498.0,0.0,49.53,11.0,2.0,200.57
2025-04-20,CAMP3001,email,Cyber Monday Deals,586.0,0.0,58.38,11.0,0.0,0.0
2025-04-21,CAMP3001,email,Cyber Monday Deals,999.0,0.0,99.39,5.0,0.0,0.0
2025-04-22,CAMP3001,email,Cyber Monday Deals,1085.0,0.0,108.01,12.0,0.0,0.0
2025-04-23,CAMP3001,email,Cyber Monday Deals,765.0,0.0,76.17,15.0,1.0,166.37
2025-04-24,camp3001,email,Cyber Monday Deals,698.0,0.0,69.44,11.0,0.0,0.0
2025-04-25, CAMP3001 ,email,Cyber Monday Deals,427.0,0.0,42.51,7.0,1.0,
2025-04-26,,email,Cyber Monday Deals,661.0,0.0,65.75,2.0,1.0,135.93
2025-04-27,CAMP3001,email,Cyber Monday Deals,774.0,0.0,77.0,4.0,0.0,0.0
,CAMP3001,email,Cyber Monday Deals,688.0,0.0,68.47,14.0,2.0,60.9
2025-04-29,CAMP3001,email,Cyber Monday Deals,1063.0,0.0,105.77,12.0,2.0,328.63
2025-04-30,CAMP3001,email,Cyber Monday Deals,444.0,,44.18,11.0,0.0,0.0
2025-05-01,CAMP3001,email,Cyber Monday Deals,854.0,0.0,84.97,1.0,0.0,0.0
2025-05-02,CAMP3001,email,Cyber Monday Deals,625.0,0.0,62.17,5.0,1.0,139.35
2025-05-03,CAMP3001,email,Cyber Monday Deals,951.0,,94.59,12.0,1.0,168.22
2025-05-04,CAMP3001,email,Cyber Monday Deals,959.0,0.0,95.43,8.0,1.0,103.3
2025-05-05,CAMP3001,email,Cyber Monday Deals,460.0,0.0,45.75,15.0,1.0,
2025-05-06,CAMP3001,email,Cyber Monday Deals,1099.0,0.0,109.33,0.0,1.0,92.23
2025-05-07,CAMP3001,email,Cyber Monday Deals,1011.0,0.0,100.62,0.0,1.0,81.68
,CAMP3001,email,,,0.0,83.12,3.0,0.0,0.0
2025-05-09,CAMP3001,email,Cyber Monday Deals,971.0,0.0,96.65,6.0,1.0,35.74
2025-05-10,CAMP3001,email,Cyber Monday Deals,1021.0,0.0,101.55,11.0,1.0,158.17
2025-05-11,CAMP3001,email,Cyber Monday Deals,758.0,0.0,75.43,0.0,1.0,111.5
2025-05-12,CAMP3001,email,Cyber Monday Deals,922.0,0.0,91.73,7.0,1.0,145.59
2025-05-13,CAMP3001,email,Cyber Monday Deals,572.0,0.0,56.93,14.0,2.0,139.41
2025-05-14,CAMP3001,email,Cyber Monday Deals,514.0,0.0,51.16,8.0,1.0,81.35
2025-05-15,CAMP3001,email,Cyber Monday Deals,1007.0,0.0,100.18,4.0,0.0,0.0
2025-05-16,CAMP3001,email,Cyber Monday Deals,602.0,0.0,59.91,4.0,0.0,0.0
2025-05-17,CAMP3001,email,Cyber Monday Deals,441.0,0.0,43.88,11.0,1.0,125.52
2025-05-18,CAMP3001,email,Cyber Monday Deals,611.0,,60.83,0.0,1.0,115.54
2025-05-19,CAMP3001,email,Cyber Monday Deals,1001.0,0.0,,,1.0,109.71
2025-05-20,CAMP3001,email,Cyber Monday Deals,505.0,0.0,50.29,12.0,2.0,263.19
2025-05-21,CAMP3001,email,Cyber Monday Deals,986.0,0.0,98.12,,0.0,0.0
2025-05-22,CAMP3001,email,Cyber Monday Deals,459.0,0.0,45.71,1.0,1.0,52.22
2025-05-23,CAMP3001, email , cyber monday deals ,412.0,0.0,41.01,3.0,0.0,0.0
2025-05-24,CAMP3001,email,Cyber Monday Deals,875.0,0.0,87.03,2.0,1.0,196.85
2025-05-25,CAMP3001,email,Cyber Monday Deals,627.0,0.0,62.36,13.0,0.0,0.0
2025-05-26,CAMP3001,email,Cyber Monday Deals,527.0,0.0,52.48,3.0,1.0,97.38
2025-05-27,CAMP3001,email,Cyber Monday Deals,1106.0,0.0,110.07,12.0,2.0,267.4
2025-05-28,CAMP3001,email,Cyber Monday Deals,505.0,0.0,50.31,,0.0,0.0
2025-05-29,CAMP3001,email,Cyber Monday Deals,609.0,0.0,60.62,,1.0,145.39
2025-05-30,CAMP3001, email ,Cyber Monday Deals,580.0,0.0,57.77,9.0,0.0,0.0
2025-05-31,CAMP3001,email,Cyber Monday Deals,631.0,0.0,62.83,11.0,2.0,76.78
2025-06-01,CAMP3001,email,Cyber Monday Deals,559.0,,55.65,15.0,2.0,217.35
2025-06-02,CAMP3001,email,Cyber Monday Deals,815.0,0.0,81.08,4.0,0.0,0.0
2025-06-03,CAMP3001,email,Cyber Monday Deals,,0.0,109.48,,2.0,238.22
2025-06-04,CAMP3001,email,Cyber Monday Deals,927.0,0.0,92.29,10.0,0.0,0.0
2025-06-05,CAMP3001,email,Cyber Monday Deals,596.0,0.0,59.34,14.0,0.0,0.0
2025-06-06,CAMP3001,,Cyber Monday Deals,,0.0,93.57,12.0,1.0,76.52
2025-06-07,CAMP3001,email,Cyber Monday Deals,784.0,0.0,78.04,14.0,2.0,386.83
2025-06-08,CAMP3001,email,Cyber Monday Deals,948.0,,94.34,7.0,1.0,185.54
2025-06-09,CAMP3001,email,Cyber Monday Deals,883.0,0.0,87.84,1.0,1.0,179.39
2025-06-10,CAMP3001,,,782.0,0.0,77.82,14.0,2.0,149.59
,CAMP3001,email,Cyber Monday Deals,665.0,0.0,66.23,5.0,0.0,0.0
2025-03-02,CAMP3002,,Flash Sale Weekend,501.0,16.0,2.36,1.0,1.0,155.57
2025-03-03,CAMP3002,social,Flash Sale Weekend,806.0,26.0,3.8,15.0,,269.52
2025-03-04,CAMP3002,social,Flash Sale Weekend,460.0,15.0,2.17,14.0,0.0,0.0
2025-03-05,CAMP3002,social,Flash Sale Weekend,407.0,13.0,1.92,6.0,1.0,116.74
