event_id,session_id,customer_id,event_type,event_datetime,sku,quantity,unit_price
EVT200000,SESS100000,CUST1357,page_view,2025-12-02 11:25:55.000000,,,
EVT200001,SESS100000,CUST1357,product_view,2025-12-02 11:26:41.000000,SKU10099,,19.04
EVT200002,SESS100000,CUST1357,,2025-12-02 11:28:32.000000,SKU10099,2.0,19.04
EVT200003,SESS100000,CUST1357,begin_checkout,2025-12-02 11:29:17.000000,SKU10099,2.0,19.04
EVT200004,SESS100000,CUST1357,purchase,2025-12-02 11:30:53.000000,SKU10099,2.0,19.04
EVT200005,SESS100001,CUST1485,,2026-01-24 06:21:22.000000,,,
EVT200006,SESS100001,CUST1485,product_view,2026-01-24 06:21:24.000000,SKU10038,,239.32
EVT200007,SESS100002,CUST1214,page_view,2025-05-11 06:25:25.000000,,,
EVT200008,SESS100002,CUST1214,product_view,2025-05-11 06:26:14.000000,SKU10160,,274.32
EVT200009,SESS100003,CUST1381,page_view,2025-08-09 18:45:50.000000,,,
EVT200010,SESS100004,CUST1056,page_view,2025-12-29 00:17:46.000000,,,
EVT200011,SESS100005,CUST1167,page_view,2025-09-21 04:07:09.000000,,,
EVT200012,sess100005,CUST1167,product_view,,SKU10060,,78.73
EVT200013,SESS100005,CUST1167,add_to_cart,2025-09-21 04:08:11.000000,SKU10060,4.0,78.73
EVT200014,SESS100006,CUST1043,page_view,2025-05-08 19:19:58.000000,,,
EVT200015,SESS100007,CUST1232,page_view,2025-03-02 02:44:24.000000,,,
EVT200016,SESS100007,CUST1232,product_view,2025-03-02 02:45:17.000000,SKU10034,,263.17
EVT200017,SESS100008,CUST1179,page_view,2025-03-07 14:40:40.000000,,,
EVT200018,SESS100008,CUST1179,product_view,2025-03-07 14:41:26.000000,SKU10054,,234.12
EVT200019,SESS100009,CUST1053,page_view,2026-01-26 10:35:08.000000,,,
EVT200020,SESS100009,CUST1053,product_view,2026-01-26 10:35:35.000000,SKU10119,,20.55
EVT200021,SESS100009,CUST1053,add_to_cart,2026-01-26 10:37:05.000000,SKU10119,1.0,20.55
EVT200022,SESS100009,CUST1053,begin_checkout,2026-01-26 10:39:25.000000,SKU10119,1.0,20.55
EVT200023,SESS100011,CUST1235,page_view,2025-10-19 02:40:07.000000,,,
EVT200024,SESS100011,CUST1235,product_view,2025-10-19 02:40:24.000000,SKU10171,,
EVT200025,SESS100012,CUST1411,page_view,2025-11-22 03:38:08.000000,,,
EVT200026,SESS100012,CUST1411,product_view,,SKU10042,,473.53
EVT200027,SESS100012,CUST1411,add_to_cart,2025-11-22 03:38:58.000000,SKU10042,1.0,473.53
EVT200028,,CUST1411,begin_checkout,2025-11-22 03:38:58.000000,SKU10042,1.0,473.53
EVT200029,SESS100012,CUST1411,purchase,2025-11-22 03:38:58.000000, SKU10042 ,1.0,473.53
,SESS100013,CUST1192,page_view,2025-06-29 09:57:47.000000,,,
EVT200031,SESS100013,CUST1192,product_view,2025-06-29 09:58:30.000000,SKU10182,,195.45
EVT200032,SESS100014,CUST1415,page_view,2025-11-12 02:04:57.000000,,,
EVT200033,SESS100014,CUST1415,product_view,2025-11-12 02:05:23.000000,SKU10032,,168.51
EVT200034,SESS100015, CUST1337 ,page_view,2025-06-30 03:01:40.000000,,,
EVT200035,SESS100015,CUST1337,product_view,2025-06-30 03:01:55.000000,SKU10133,,240.79
EVT200036,SESS100016,CUST1446,page_view,2025-11-04 19:55:38.000000,,,
