date,sessions,product_views,add_to_cart,checkout_started,purchases,conversion_rate,cart_abandonment_rate
2025-02-15,53.0,38.0,13.0,7.0,,0.0755,0.6923
2025-02-16,57.0,35.0,8.0,3.0,,0.0175,0.875
2025-02-17,30.0,20.0,7.0,,1.0,0.0333,
2025-02-18,72.0,42.0,16.0,4.0,2.0,0.0278,0.875
2025-02-19,20.0,13.0,,1.0,0.0,,1.0
2025-02-20,65.0,45.0,12.0,6.0,3.0,0.0462,0.75
2025-02-21,59.0,42.0,14.0,8.0,3.0,0.0508,0.7857
2025-02-22,51.0,30.0,10.0,3.0,1.0,0.0196,0.9
2025-02-23,26.0,13.0,3.0,1.0,0.0,0.0,1.0
2025-02-24,50.0,35.0,13.0,4.0,2.0,0.04,0.8462
2025-02-25,55.0,34.0,8.0,3.0,1.0,,0.875
,65.0,47.0,13.0,4.0,2.0,0.0308,
2025-02-27,26.0,15.0,3.0,1.0,0.0,0.0,1.0
2025-02-28,69.0,54.0,13.0,4.0,1.0,0.0145,0.9231
2025-03-01,36.0,27.0,9.0,3.0,1.0,0.0278,0.8889
2025-03-02,22.0,11.0,,1.0,0.0,0.0,1.0
2025-03-03,68.0,53.0,16.0,8.0,4.0,0.0588,0.75
,67.0,52.0,13.0,6.0,4.0,0.0597,0.6923
2025-03-05,23.0,13.0,3.0,1.0,0.0,0.0,
2025-03-06,55.0,36.0,11.0,5.0,3.0,0.0545,0.7273
2025-03-07,73.0,47.0,12.0,4.0,2.0,0.0274,0.8333
2025-03-08,79.0,53.0,17.0,9.0,5.0,0.0633,0.7059
2025-03-09,77.0,39.0,8.0,4.0,2.0,0.026,0.75
2025-03-10,57.0,33.0,11.0,3.0,1.0,0.0175,0.9091
2025-03-11,63.0,48.0,11.0,6.0,3.0,0.0476,
2025-03-12,73.0,51.0,15.0,7.0,4.0,0.0548,0.7333
2025-03-13,24.0,12.0,3.0,1.0,0.0,0.0,1.0
2025-03-14,57.0,44.0,14.0,7.0,4.0,0.0702,0.7143
2025-03-15,48.0,,9.0,4.0,1.0,0.0208,0.8889
2025-03-16,24.0,16.0,6.0,2.0,0.0,0.0,1.0
2025-03-17,65.0,,15.0,6.0,2.0,0.0308,0.8667
2025-03-18,51.0,38.0,8.0,4.0,2.0,0.0392,0.75
,59.0,32.0,9.0,3.0,1.0,0.0169,0.8889
2025-03-20,75.0,54.0,13.0,7.0,4.0,0.0533,0.6923
2025-03-21,57.0,33.0,12.0,5.0,2.0,0.0351,0.8333
2025-03-22,50.0,27.0,6.0,3.0,1.0,0.02,0.8333
2025-03-23,61.0,37.0,8.0,2.0,1.0,0.0164,0.875
2025-03-24,47.0,24.0,5.0,1.0,0.0,0.0,1.0
2025-03-25,21.0,,5.0,2.0,,0.0476,
2025-03-26,56.0,28.0,6.0,3.0,1.0,0.0179,0.8333
2025-03-27,22.0,12.0,2.0,0.0,0.0,0.0,
2025-03-28,39.0,27.0,10.0,4.0,1.0,0.0256,0.9
2025-03-29,78.0,59.0,14.0,7.0,3.0,0.0385,0.7857
2025-03-30,80.0,48.0,18.0,5.0,3.0,0.0375,0.8333
2025-03-31,25.0,18.0,4.0,1.0,0.0,0.0,1.0
2025-04-01,63.0,48.0,19.0,6.0,3.0,0.0476,0.8421
2025-04-02,44.0,28.0,6.0,1.0,0.0,0.0,1.0
2025-04-03,27.0,17.0,4.0,1.0,0.0,0.0,1.0
2025-04-04,48.0,37.0,11.0,4.0,2.0,0.0417,0.8182
2025-04-05,57.0,37.0,11.0,3.0,1.0,0.0175,0.9091
