sku,stock_quantity,reorder_level,warehouse_location,supplier
SKU10000,163.0,45.0,WH-MUM,
SKU10001,178.0,,WH-SYD,Pacific Trading
SKU10002,32.0,,WH-MUM,PrimeWholesale
SKU10003,228.0,58.0,WH-LON,NexGen Logistics
SKU10004,406.0,77.0,WH-TOR,FastShip
SKU10005,439.0,78.0,WH-SYD,
SKU10006,410.0,80.0,WH-TOR,PrimeWholesale
SKU10007,398.0,57.0,WH-TOR,MegaDistro
SKU10008,270.0,51.0,WH-LON,PrimeWholesale
SKU10009,338.0,28.0,WH-MUM,Pinnacle Supply
SKU10010,458.0,59.0,wh-lon, UrbanTraders 
SKU10011,170.0,67.0,WH-MUM,GlobalSupplyCo
SKU10012,87.0,43.0,WH-TOR,NexGen Logistics
SKU10013,156.0,29.0,WH-SYD,FastShip
SKU10014,478.0,62.0,WH-TOR,FastShip
SKU10015,31.0,29.0,wh-la,Pacific Trading
SKU10016,16.0,68.0,WH-MUM,Atlas Distribution
SKU10017,379.0,71.0,WH-NY,Pacific Trading
sku10018,117.0,52.0,WH-NY,megadistro
SKU10019,462.0,46.0,WH-MUM,
SKU10020,27.0,71.0,WH-LA,UrbanTraders
SKU10021,126.0,64.0,WH-NY,UrbanTraders
SKU10022,,37.0,WH-LA,Pinnacle Supply
SKU10024,279.0,24.0,WH-MUM,MegaDistro
SKU10025,338.0,48.0,,GlobalSupplyCo
SKU10026,415.0,30.0,WH-TOR,PrimeWholesale
SKU10027,436.0,45.0,WH-MUM,FastShip
SKU10028,181.0,53.0,WH-SYD,CoreFreight
SKU10029,254.0,22.0,,Atlas Distribution
SKU10030,150.0,48.0,WH-MUM,NexGen Logistics
SKU10031,144.0,64.0,WH-NY,UrbanTraders
SKU10032,439.0,65.0,WH-NY,UrbanTraders
SKU10033,269.0,45.0,WH-LA,Pacific Trading
SKU10034,456.0,43.0,WH-LON,Pacific Trading
SKU10035,193.0,36.0,WH-NY,Atlas Distribution
SKU10036,368.0,24.0,WH-MUM,Atlas Distribution
SKU10037,319.0,20.0, WH-LON ,MegaDistro
SKU10038,421.0,,WH-TOR,FastShip
SKU10039,112.0,68.0,WH-MUM,FastShip
SKU10040,167.0,28.0,WH-LA,PrimeWholesale
SKU10042,173.0,76.0,WH-LON,CoreFreight
SKU10043,392.0,29.0,WH-LA,MegaDistro
SKU10044,83.0,68.0,WH-TOR,Pinnacle Supply
SKU10045,189.0,56.0, wh-ny ,PrimeWholesale
SKU10046,338.0,51.0,WH-NY,UrbanTraders
