campaign_id,channel,campaign_type,campaign_name,start_date,end_date,ad_spend,impressions,clicks,conversions
CAMP3000,social,seasonal_sale,Summer Blowout 2026,2025-12-09,2025-12-24,4321.28,8581.0,418.0,
CAMP3001,email,flash_sale,Cyber Monday Deals,2025-04-14,2025-06-12,4575.58,46005.0,,46.0
CAMP3002,social,flash_sale,Flash Sale Weekend,2025-03-02,2025-05-19,291.82,61975.0,2067.0,
CAMP3003,instagram,loyalty, Prime Day Rivals ,2025-06-15,2025-07-20,3585.73,80605.0,2318.0,
CAMP3004,social,new_arrival,Diwali Festive Sale,2025-04-03,2025-06-06,2801.18,38136.0,1973.0,71.0
CAMP3005,social,new_arrival,Winter Warmup Deals,2025-11-03,2025-11-25,1511.0,23546.0,1055.0,106.0
CAMP3006,email,clearance,Loyalty Rewards Week,2025-03-02,,825.53,43223.0,2475.0,252.0
CAMP3007,facebook,flash_sale,Summer Blowout 2026,2025-06-07,2025-08-25,4585.56,80459.0,,415.0
CAMP3008,in_app,loyalty,Loyalty Rewards Week,2025-03-09,2025-04-29,4850.17,36302.0,734.0,
CAMP3009,,seasonal_sale,Spring Clearance,2025-05-03,2025-06-16,2488.28,82767.0,1205.0,130.0
CAMP3010,instagram,,Summer Blowout 2026,2025-09-17,2025-12-07,4110.73,6098.0,64.0,2.0
CAMP3011,facebook,flash_sale,Loyalty Rewards Week,2025-07-26,2025-08-09,3068.23,,3802.0,269.0
CAMP3012,facebook,clearance,Spring Clearance,2025-05-01,2025-06-05,3029.72,99759.0,1784.0,85.0
CAMP3013,social,seasonal_sale,Back to School Sale,2025-06-26,2025-08-09,4833.13,69536.0,3948.0,298.0
CAMP3014,facebook,loyalty,Holiday Gift Guide 2026,2025-07-15,2025-08-17,3738.55,94772.0,3106.0,191.0
 CAMP3015 ,google_ads,flash_sale,Christmas Countdown,2026-01-03,2026-02-19,1248.4,43063.0,2044.0,51.0
CAMP3016,email,clearance,Cyber Monday Deals,2025-02-22,2025-03-14,3552.36,71505.0,2031.0,189.0
CAMP3017,google_ads,loyalty,Fall Fashion Preview,2025-06-10,2025-09-02,3662.3,89115.0,3585.0,351.0
CAMP3018,instagram,seasonal_sale,Cyber Monday Deals,2025-04-24,2025-06-01,4105.86,19202.0,,44.0
CAMP3019,in_app,flash_sale,Anniversary Special,2025-12-02,2026-01-12,1179.15,45567.0,1735.0,259.0
CAMP3020,in_app,clearance,Spring Clearance,2025-04-11,2025-07-06,4032.7,84954.0,2693.0,64.0
CAMP3021,facebook,flash_sale,Holiday Gift Guide 2026,,,1717.42,29941.0,1507.0,
CAMP3022,instagram,new_arrival,Back to School Sale,,2026-03-31,1976.97,61917.0,2477.0,341.0
CAMP3023,instagram,seasonal_sale,,2025-10-08,2025-10-31,927.09,47125.0,599.0,43.0
CAMP3024,instagram,loyalty,Christmas Countdown,2025-04-10,2025-06-14,,58955.0,2568.0,250.0
CAMP3025,google_ads,seasonal_sale,End of Season Clearance,2025-05-01,2025-06-09,706.7,31563.0,1031.0,32.0
CAMP3026,facebook,loyalty,Fall Fashion Preview,,2025-07-18,1622.89,36191.0,1855.0,273.0
CAMP3027,email,new_arrival,Fall Fashion Preview,2025-09-01,2025-09-20,311.86,17388.0,548.0,31.0
CAMP3028,social,flash_sale,Labor Day Savings,2025-10-01,2025-12-22,2621.15,28906.0,436.0,19.0
