campaign_id,channel,campaign_type,start_date,end_date,promo_code,ad_spend,impressions,clicks,conversions,revenue,ctr,conversion_rate
camp3000,email,new_arrival,2025-04-23,2024-07-06,SUMMER15,252.1,31075.0,543.0,17.0,583.31,0.0175,0.0313
CAMP3001,instagram, new_arrival , 2025-07-10 ,2024-10-09,SUMMER15,478.35,11156.0,285.0,6.0,328.12,0.0255,0.0211
CAMP3002,FACEBOOK, seasonal_sale ,2024-03-25, 2024-06-14 ,nan,51.12,49509.0,2255.0,273.0,12276.3,0.0455,
CAMP3003,INSTAGRAM, new_arrival ,2024-11-19, nan ,nan,267.01,28768.0,432.0,22.0,860.71,0.015,0.0509
NAN, email ,new_arrival,2025-03-26,2025-03-16, BF2025 ,296.02,49345.0,3343.0,240.0,33465.45,0.0677,0.0718
CAMP3005,instagram,brand_awareness,2024-05-27,2025-02-21,SUMMER15,277.09,26426.0,1111.0,106.0,14658.99,0.042,0.0954
CAMP3006, INSTAGRAM ,retargeting, 2024-04-27 ,2025-09-17,BF2025,400.82,24280.0,840.0,30.0,1458.39,0.0346,0.0357
 camp3007 ,google_ads, seasonal_sale ,2024-05-07,nan, FREESHIP ,130.16,27568.0,1434.0,195.0,20428.08,0.052,0.136
camp3008,in_app,retargeting,2024-01-07,2024-07-21,WELCOME10,261.68,20612.0,9564.902277963532,95.0,3545.72,,0.0968
CAMP3009,in_app,retargeting,2025-03-12,2024-12-28, SUMMER15 ,406.25,37978.0,1936.0,203.0,29299.91,,0.1049
 CAMP3010 ,facebook,seasonal_sale, 2025-04-19 ,2025-10-01, BF2025 ,223.37,,423.0,,1977.85,0.0635,0.0993
CAMP3011,instagram, brand_awareness ,nan,2024-11-06,WELCOME10,57.08,5802.0,253.0,24.0,844.92,0.0436,0.0949
CAMP3012,in_app, retargeting ,2024-07-23, nan ,FREESHIP,285.5,26305.0,1787.0,207.0,20907.44,0.0679,0.1158
CAMP3013,INSTAGRAM,retargeting,2025-04-11,2024-05-16,WELCOME10,462.18,9112.0,382.0,,4549.54,0.0419,0.1047
nan,email,retargeting,2024-07-24,2024-04-11, nan ,312.57,,3017.0,78.0,3170.76,0.0622,0.0259
CAMP3015,GOOGLE_ADS,nan,2024-05-18, 2024-11-11 ,nan,76.5,10776.0,859.0,47.0,5025.53,0.0797,0.0547
CAMP3016,facebook,nan, 2024-10-01 , 2025-09-16 ,nan,86.63,163364.3987091328,1069.0,61.0,2551.94,0.0285,0.0571
camp3017,in_app,retargeting,2024-09-13,2024-09-05, nan ,183.64,43928.0,3478.0,251.0,17443.12,0.0792,0.0722
 CAMP3018 , instagram ,brand_awareness, 2025-09-12 , nan ,SUMMER15,,29159.0,2126.0,274.0,22061.82,0.0729,0.1289
 CAMP3019 , facebook ,NAN, 2024-12-17 ,2025-10-20, SUMMER15 ,430.58,12780.0,591.0,29.0,4111.83,0.0462,0.0491
CAMP3020, in_app ,seasonal_sale,2024-08-11,nan,nan,128.85,13164.0,757.0,92.0,13505.56,0.0575,0.1215
CAMP3021,FACEBOOK,brand_awareness, 2025-04-11 ,2024-03-23,WELCOME10,486.32,,1442.0,111.0,2597.43,0.0293,0.077
CAMP3022,facebook,brand_awareness,2024-09-29,2024-06-22,nan,492.83,3177.0,127.0,3.0,352.92,0.04,0.0236
CAMP3023,facebook,NAN,2024-12-07, 2024-10-12 ,nan,139.66,,1227.0,171.0,18826.05,0.0266,0.1394
camp3024,facebook,brand_awareness,2024-04-06,2024-12-22,SUMMER15,398.62,8129.0,445.0,23.0,544.37,0.0547,0.0517
camp3025,nan,seasonal_sale,2024-11-16, 2025-05-02 ,nan,132.09,49408.0,1734.0,149.0,15942.48,0.0351,0.0859
CAMP3026, facebook ,new_arrival,2024-09-08,2025-08-16,nan,261.5,30107.0,354.0,39.0,4989.6,0.0118,0.1102
nan,facebook,brand_awareness, nan ,2024-05-19, WELCOME10 ,96.65,22401.0,715.0,12.0,759.03,,0.0168
CAMP3028,nan,seasonal_sale,2024-08-13,2025-06-19, WELCOME10 ,280.75,45097.0,2251.0,144.0,8902.91,0.0499,0.064
CAMP3029,facebook, brand_awareness ,2025-04-01, nan , nan ,237.32,31611.0,1032.0,145.0,10246.68,0.0326,0.1405
camp3030,in_app,BRAND_AWARENESS,2025-07-31,2025-09-26,nan,407.0,26068.0,1657.0,86.0,7169.88,0.0636,0.0519
 CAMP3031 ,facebook,nan, 2024-08-26 , 2024-12-22 , BF2025 ,455.15,41747.0,9564.902277963532,28.0,2778.46,0.0184,
