order_id,payment_method,payment_status,transaction_fee,currency
,wallet,pending,3.84,EUR
ORD5001,wallet,completed,8.21,CAD
ORD5002,credit_card,completed,11.55,BRL
ORD5003,credit_card,refunded,1.3,BRL
ORD5004,bank_transfer,completed,,CAD
ORD5005,bank_transfer,completed,5.74,USD
ORD5006,bank_transfer,completed,23.03,INR
,wallet,completed,0.77,JPY
ORD5008,paypal,completed,2.54,
ORD5009,bank_transfer,completed,14.16,USD
ORD5010,wallet,failed,3.27,GBP
ORD5011,bank_transfer,,16.46,
ORD5012,wallet,failed,4.01,BRL
ORD5013,,completed,16.12,AUD
ORD5014,paypal,completed,18.8,GBP
ORD5015,wallet,completed,21.21,JPY
ORD5016,wallet,COMPLETED,24.46,
ORD5017,paypal,completed,4.06,BRL
ORD5018,debit_card,completed,14.52,AUD
ORD5019,paypal,completed,10.14,EUR
ORD5020,debit_card,completed,11.75,AUD
ORD5021,paypal,completed,24.48,JPY
 ord5022 ,bank_transfer,refunded,13.88,AUD
ORD5023,paypal,completed,8.64,inr
ORD5024,credit_card,completed,2.49,EUR
ORD5025,bank_transfer,completed,14.71,USD
ORD5026,bank_transfer,completed,19.45,EUR
ORD5027,,completed,2.12,USD
ORD5028,paypal,pending,4.87,
ORD5029,wallet,completed,3.89,
,bank_transfer,completed,21.23,JPY
ORD5031,debit_card,completed,1.2,BRL
ORD5032,bank_transfer,completed,8.77,GBP
 ord5033 ,credit_card,completed,5.68,INR
ORD5034,bank_transfer,,15.36,GBP
ORD5035,credit_card,completed,2.9,GBP
ORD5036,,completed,13.79,GBP
ORD5037,bank_transfer,completed,10.96,GBP
,wallet,completed,7.05,AUD
ORD5039,paypal,refunded,12.53,EUR
ORD5040,credit_card,completed,6.72,CAD
ORD5041,debit_card,pending,19.03,INR
ORD5042,debit_card,completed,16.16,AUD
ORD5043,debit_card,pending,1.8,EUR
,paypal,completed,11.98,AUD
ORD5045,debit_card,completed,21.02,EUR
ORD5046,debit_card,completed,22.23,INR
ORD5047, credit_card ,completed,12.91,BRL
ORD5048,bank_transfer,completed,24.82,BRL
ORD5049,,completed,11.52,JPY
ORD5050,paypal,completed,4.51,USD
ORD5051,paypal,completed,6.41,BRL
ORD5052,paypal,completed,3.62,GBP
ORD5053,credit_card,completed,17.55,CAD
ORD5054,credit_card,refunded,5.27,BRL
,wallet,completed,,BRL
ORD5056,paypal,completed,15.68,AUD
ORD5057,wallet,pending,9.04,EUR
ORD5058,paypal,completed,24.79,USD
ORD5059,bank_transfer,completed,0.98,EUR
ORD5060,bank_transfer,completed,17.0,AUD
ORD5061,credit_card,completed,13.46,INR
ORD5062,,completed,19.33,CAD
ORD5063,bank_transfer,pending,6.58,GBP
ORD5064,wallet,completed,5.42,CAD
ORD5065,wallet,completed,19.44,EUR
ORD5066,paypal,completed,18.85,AUD
ord5067,paypal,completed,5.5,EUR
,wallet,completed,19.09,
ORD5069,credit_card,refunded,21.37, brl 
ORD5070,paypal,completed,13.21,BRL
ORD5071, debit_card ,completed,21.69,INR
ORD5072,wallet,completed,19.13,BRL
ORD5073,credit_card,pending,15.38,USD
ORD5074,bank_transfer,refunded,16.41,GBP
ORD5075,paypal,completed,9.41,JPY
