payment_id,order_id,customer_id,payment_provider,payment_type,transaction_fee,currency,exchange_rate_to_usd,refunded,refund_amount
PAY6000,ORD5000,cust1327,visa,paypal,23.05,GBP,1.0022,True,706.26
PAY6001,ORD5001, CUST1012 ,paypal,wallet,11.48,USD,0.732,False,0.0
PAY7088,ORD6088,CUST1180,paypal,paypal,, EUR ,0.9316,false,0.0
 PAY6003 , ORD5003 ,NAN, stripe ,nan,15.71,CAD,1.0684,False,
 PAY6004 ,ord5004, CUST1377 ,amex,credit_card,3.61,EUR,1.1234, False ,0.0
pay6005, ord5005 , CUST1346 ,stripe, paypal ,48.98,USD,1.2251,False,
PAY6006, ORD5006 ,CUST1456,amex,paypal,2.46,USD,1.1637,False,0.0
PAY6007,ORD5007,CUST1044, nan ,paypal,17.81,USD,1.1823, False ,0.0
PAY6008,ORD5008,CUST1216,stripe,credit_card,2.62, eur ,0.7567,FALSE,0.0
 pay6009 ,ORD5009,CUST1015,mastercard,wallet,98.72848606569148,nan,1.0543,FALSE,0.0
PAY6010,ORD5010,CUST1111, MASTERCARD ,credit_card,11.64, USD ,1.1426,False,
PAY6011,ORD5011,CUST1258,stripe, credit_card ,19.39,CAD,,false,0.0
 PAY6012 ,ORD5012,nan, amex ,credit_card,4.74,USD,1.2181,True,421.32
pay6013,ORD5013,CUST1101, amex ,credit_card,2.65,CAD,1.0066,False,0.0
PAY6014,ORD5014,CUST1332,visa,bank_transfer,1.05, usd ,0.971,False,0.0
PAY6015,ORD5015,CUST1279,paypal,wallet,2.32,CAD,0.8896,nan,0.0
PAY6284,nan,CUST1442, stripe ,credit_card,8.02, CAD ,1.026,False,0.0
PAY6017, ORD5017 ,CUST1301,paypal,nan,5.19, USD ,0.8484, False ,0.0
PAY6018,ORD5018, CUST1414 ,stripe,credit_card,7.26,USD,1.0492,FALSE,0.0
PAY6258,ORD5258,CUST1004,paypal,credit_card,6.75, CAD ,1.1242,True,235.42
pay6020,ord5020,CUST1357,mastercard, credit_card ,4.95,eur,1.2857,FALSE,0.0
pay6021,ORD5021,CUST1174,mastercard,bank_transfer,3.85,USD,1.1538,False,0.0
PAY6022,ORD5022, CUST1079 ,visa,credit_card,4.4,nan,,FALSE,0.0
PAY6023,ORD5023,nan,VISA,credit_card,98.72848606569148,EUR,0.9456,False,0.0
 PAY6024 ,nan,cust1172,AMEX,paypal,1.12,USD,1.2567,FALSE,0.0
PAY6025,NAN,CUST1047,visa, credit_card ,3.46, eur ,0.9924,true,304.07
PAY6026, nan ,CUST1049,stripe,credit_card,9.62, CAD ,1.236, nan ,0.0
pay6027, ord5027 ,CUST1433,mastercard,paypal,7.09, EUR ,0.7607, True ,358.9
PAY6028,ORD5028,cust1309,stripe,credit_card,14.39,nan,0.8875,False,0.0
PAY6029,ORD5029,CUST1413,amex,credit_card,24.05,eur,1.2619,False,0.0
PAY6030,ORD5030,nan,paypal,wallet,2.97,EUR,0.8674,False,0.0
PAY6031,ord5031,nan,AMEX,nan,24.1, USD ,, False ,
PAY6032, ORD5032 ,CUST1498, paypal ,nan,6.46,USD,0.8924,False,0.0
 PAY6033 , ORD5033 , CUST1040 ,amex,nan,6.91,USD,,False,0.0
pay6034, ord5034 ,CUST1150,visa,credit_card,4.91,CAD,0.7951,False,0.0
PAY6035, ORD5035 ,CUST1316,paypal,paypal,4.26, CAD ,1.0503,False,0.0
 nan ,ord5036,CUST1295,paypal,bank_transfer,3.68,USD,0.8806,False,0.0
