sku,product_name,category,brand,cost_price,retail_price,profit_margin,discount_percent,average_rating
SKU10000,Annie's Organic Mac & Cheese 6pk,Food,Annie's,154.54,459.52,0.6637,20.0,3.2
SKU10001,Apple AirPods Pro 2nd Gen,Electronics,Apple,83.77,216.68,0.6134,10.0,4.3
SKU10002,The Power of Now by Eckhart Tolle, Books ,New World,129.1,,0.5748,0.0,3.44
SKU10003,Speedo Vanquisher 2.0 Goggles,Sports,,104.71,170.48,0.3858,0.0,2.83
SKU10004,The North Face Puffer Vest,Clothing,The North Face,39.49,82.31,0.5202,0.0,4.21
SKU10005,,Clothing,Timberland,191.73,537.17,0.6431,30.0,1.48
SKU10006,Clif Bar Energy Variety 12pk,Food,Clif,131.68,267.13,0.5071,0.0,1.41
SKU10007,Brooks Ghost 15 Running Shoe,Clothing, brooks ,,236.41,0.6009,5.0,4.03
SKU10008,Camelbak Podium Water Bottle,Sports,Camelbak,,327.49,0.5585,10.0,2.9
SKU10009,Bioderma Sensibio H2O Micellar,Beauty,Bioderma,145.62,373.85,0.6105,30.0,2.62
SKU10010,Anker PowerCore 10000mAh,Electronics,Anker,7.78,,0.6564,15.0,1.9
SKU10011,Chobani Greek Yogurt Variety 12,Food,Chobani,180.14,461.22,0.6094,15.0,3.66
SKU10012,Vans Old Skool Classic,Clothing,Vans,149.19,368.87,0.5955,5.0,1.91
SKU10013,Pantene Pro-V Daily Shampoo,Beauty,Pantene,153.53,324.16,0.5264,0.0,3.15
SKU10014,Rich Dad Poor Dad by Kiyosaki,Books,Plata,26.75,75.09,0.6438,5.0,3.36
SKU10015,Belkin Wireless Charging Pad,Electronics,Belkin,71.52,175.39,0.5922,30.0,2.24
SKU10016,Samsung T7 Portable SSD 1TB,Electronics,Samsung,129.39,286.68,0.5487,0.0,1.77
SKU10017,KIND Protein Bars Variety 12pk,Food,KIND,38.5,60.39,0.3625,0.0,2.3
sku10018,Swiffer WetJet Starter Kit,Home,Swiffer,66.49,121.25,0.4516,20.0,
SKU10019,Fisher-Price Laugh & Learn,Toys,Fisher-Price,88.36,172.31,0.4872,,3.24
SKU10020,Ninja Professional Blender 72oz,Home,Ninja,139.12,395.81,0.6485,25.0,2.0
SKU10021,Dove Body Wash Deep Moisture,Beauty,Dove,165.74,461.7,0.641,10.0,3.3
SKU10022,Corsair K70 RGB Keyboard,Electronics,Corsair,191.65,366.84,0.4776,25.0,3.99
,,Toys,Hasbro,160.63,435.93,0.6315,0.0,4.65
SKU10024,Good to Great by Jim Collins,Books,HarperBusiness,157.21,346.49,0.5463,30.0,4.39
SKU10025,Cetaphil Gentle Skin Cleanser,Beauty,,131.33,246.6,0.4674,30.0,4.12
SKU10026,Burt's Bees Lip Balm Original,Beauty,Burt's Bees,,262.36,0.5853,5.0,4.08
SKU10027,Justin's Classic Almond Butter,Food,,191.16,354.92,0.4614,15.0,
SKU10028,Liquid Death Mountain Water 12,Food,Liquid Death,174.17,479.34,0.6366,5.0,2.52
SKU10029,Roku Streaming Stick 4K+,Electronics,ROKU,122.95,316.53,0.6116,15.0,2.66
SKU10030,Pokemon Trading Card Elite Box,Toys,Pokemon,189.46,456.3,0.5848,5.0,5.0
SKU10031,ELF Poreless Putty Primer,Beauty,ELF,140.54,364.83,0.6148,0.0,3.38
SKU10032,Casper Original Pillow,Home,,158.38,213.97,,5.0,2.22
SKU10033,Ring Video Doorbell 4,Electronics,Ring,107.41,168.51,,0.0,2.39
SKU10034,Mr Coffee 12-Cup Programmable,Home,Mr Coffee,55.09,101.86,0.4592,30.0,2.46
SKU10035,Nest Learning Thermostat 3rd,Home,Google Nest,177.95,263.17,0.3238,5.0,2.0
SKU10036, Belvita Breakfast Biscuits 30ct ,Food,BELVITA,170.9,439.47,0.6111,20.0,3.53
SKU10037,Olay Regenerist Micro-Sculpting,Beauty,Olay,93.37,163.1,0.4275,25.0,1.47
SKU10038,CeraVe Moisturizing Cream 16oz,Beauty,CeraVe,17.31,33.26,0.4796,0.0,4.86
SKU10039, Monopoly Classic Board Game ,Toys,Hasbro,82.52,239.32,0.6552,30.0,1.78
SKU10040,Everlast Pro Boxing Gloves,Sports,Everlast,,114.71,0.3199,0.0,3.54
,Man's Search for Meaning,Books,Beacon,87.15,183.9,0.5261,15.0,1.54
SKU10042,Jenga Classic Block Game,Toys,Hasbro,162.36,473.53,0.6571,5.0,2.56
SKU10043,Atomic Habits by James Clear,Books,Penguin,32.77,57.95,0.4345,15.0,1.04
SKU10044,The Body Keeps the Score,Books,Penguin,71.57,126.15,0.4327,0.0,2.53
SKU10045,Catan Board Game 5th Edition,Toys,Catan Studio,75.7,210.29,0.64,25.0,4.35
SKU10046,The Alchemist by Paulo Coelho,Books,HarperOne,24.72,66.01,0.6255,,3.34
SKU10047,Weber Spirit E-310 Gas Grill,Home,Weber,168.45,403.03,0.582,0.0,3.3
SKU10048,coleman portable camp chair,Sports,Coleman,188.34,505.2,0.6272,20.0,3.68
SKU10049,Melissa & Doug Wooden Puzzle,Toys,Melissa & Doug,91.97,127.03,0.276,25.0,3.8
SKU10050,The Subtle Art of Not Giving,Books,Harper,109.96,293.46,0.6253,5.0,2.27
SKU10051,BLACK+DECKER Toaster Oven,Home,BLACK+DECKER,36.05,57.19,0.3696,0.0,1.45
SKU10052,Hatchimals Mystery Egg,Toys,Spin Master,56.36,141.86,0.6027,30.0,2.42
SKU10053,The 48 Laws of Power by Greene,,,198.57,267.04,0.2564,5.0,4.33
SKU10054,GoPro Hero 12 Black,Electronics,GoPro,85.4,234.12,0.6352,20.0,3.51
SKU10055,Bob's Red Mill Oat Flour 20oz,Food,Bob's Red Mill,31.23,86.25,0.6379,5.0,4.18
SKU10056,Ticket to Ride Board Game,TOYS,Days of Wonder,48.67,85.54,0.431,0.0,2.84
SKU10057,L'Oreal Revitalift Eye Cream,Beauty,L'Oreal,54.14,152.9,0.6459,0.0,3.85
SKU10058,KitchenAid Stand Mixer 5Qt,Home,KitchenAid,110.22,270.95,0.5932,15.0,4.45
SKU10059,SimpliSafe Home Security Kit,Home,SimpliSafe,167.97,226.78,0.2593,25.0,3.91
SKU10060,Quaker Oats Old Fashioned 42oz,Food, Quaker ,54.14,78.73,0.3123,10.0,2.61
SKU10061,Callaway Supersoft Golf Balls,Sports,Callaway,5.91,11.55,0.4883,0.0,4.2
SKU10062,HyperX Cloud II Headset,Electronics,HyperX,90.94,249.01,0.6348,0.0,3.03
SKU10063,Manduka PRO Yoga Mat 71in,Sports,Manduka,24.45,39.81,0.3858,0.0,4.99
SKU10064,Outliers by Malcolm Gladwell,Books,Back Bay,83.84,160.06,0.4762,25.0,4.24
SKU10065,New Balance 574 Sneakers,Clothing,New Balance,67.46,139.06,0.5149,5.0,2.17
SKU10066,Samsung Galaxy S24 Case,Electronics,SAMSUNG,167.1,270.66,0.3826,0.0,2.23
SKU10067,Becoming by Michelle Obama,Books,Crown,107.18,171.82,,15.0,3.72
SKU10068,Dyson V15 Detect Vacuum,Home,Dyson,27.68,49.65,0.4425,5.0,3.64
SKU10069,The Four Agreements by Ruiz,Books,Amber-Allen,143.48,406.56,0.6471,10.0,1.82
SKU10070,Puma Essential Track Pants,Clothing,Puma,140.72,290.38,0.5154,5.0,1.28
SKU10071,Osprey Daylite Plus Backpack,Sports,Osprey,55.99,145.22,0.6144,20.0,4.29
SKU10072,Clinique Moisture Surge 72hr,Beauty,,,122.32,0.5737,25.0,3.95
SKU10073,Thinking Fast and Slow by Kahneman,Books,FSG,95.1,269.39,0.647,0.0,2.57
SKU10074,SanDisk 256GB Flash Drive,Electronics,SanDisk,193.01,269.52,0.2839,0.0,2.64
SKU10075,The Lean Startup by Eric Ries,Books,Currency,48.78,115.52,0.5777,30.0,1.3
SKU10076,Wrangler Straight Fit Jeans,Clothing,Wrangler,184.29,287.55,,30.0,4.52
SKU10077,Yeti Rambler 26oz Bottle,Sports,Yeti,171.08,509.6,0.6643,0.0,4.36
SKU10078,TRX Suspension Trainer Kit,Sports,TRX,42.24,68.89,0.3868,15.0,4.6
SKU10079,,Toys,Baby Einstein,47.35,105.96,0.5531,0.0,3.64
SKU10080,Celsius Energy Drink Variety 12,Food,Celsius,34.38,63.19,,5.0,4.47
SKU10081,Carhartt Beanie Watch Cap,Clothing,Carhartt,171.26,313.85,0.4543,15.0,1.81
SKU10082,CAP Barbell Dumbbell Set 20lb,Sports,CAP,34.64,69.48,0.5014,,4.64
SKU10083,Nespresso Original Capsules 50pk,,Nespresso,97.2,205.16,0.5262,0.0,3.34
SKU10084,MAC Ruby Woo Lipstick,Beauty,MAC,126.69,310.58,0.5921,0.0,1.44
SKU10085,Lavazza Super Crema Espresso,Food,Lavazza,76.22,,0.4218,30.0,2.12
,Educated by Tara Westover,Books,Random House,20.65,46.2,0.553,0.0,4.49
SKU10087,Apple Watch SE Band,Electronics,Apple,87.78,219.66,0.6004,0.0,4.77
SKU10088,Theraband Resistance Loop Set,Sports,Theraband,25.87,36.9,0.2989,15.0,1.26
SKU10089,Neutrogena Hydro Boost Gel,Beauty,Neutrogena,69.53,168.99,0.5886,0.0,1.22
SKU10090,Anker USB-C Hub 7-in-1,Electronics, anker ,164.42,411.71,0.6006,25.0,3.42
SKU10091,Nike Dri-FIT Running Tee,Clothing,Nike,19.78,32.0,,15.0,4.03
SKU10092,The Ordinary Niacinamide 10%,Beauty,,59.88,94.26,0.3647,0.0,1.25
SKU10093,Sony WH-1000XM5 Headphones,Electronics,Sony,137.81,338.04,0.5923,0.0,3.28
SKU10094,Gap Classic Logo Hoodie,,Gap,176.6,326.96,0.4599,,2.85
SKU10095,Columbia Fleece Quarter-Zip,Clothing,Columbia,134.05,213.64,0.3725,0.0,1.87
SKU10096,Keurig K-Mini Coffee Maker,Home,Keurig,,243.26,0.5888,15.0,4.85
SKU10097,Dune by Frank Herbert,Books,ACE,88.65,133.61,0.3365,0.0,3.12
SKU10098,Maybelline Fit Me Foundation,Beauty,Maybelline,180.86,381.53,0.526,10.0,3.22
SKU10099,Risk Strategy Board Game,Toys,Hasbro,8.78,19.04,0.5389,0.0,2.54
SKU10100,Yankee Candle Large Jar Vanilla,Home,Yankee,156.66,329.83,0.525,5.0,3.53
SKU10101,SKLZ Speed Agility Ladder,Sports,SKLZ,,72.51,0.6074,5.0,3.09
SKU10102,Wonderful Pistachios 16oz,Food,Wonderful,198.63,409.05,0.5144,20.0,3.22
SKU10103,AmazonBasics Microfiber Sheets,,AmazonBasics,76.92,141.22,0.4553,20.0,3.2
SKU10104,Dell USB-C Monitor Cable,Electronics,Dell,17.46,24.71,0.2934,0.0,1.41
SKU10105,Spalding NBA Replica Basketball,Sports,Spalding,111.88,,0.3113,5.0,2.79
SKU10106,Hamilton Beach Slow Cooker 6Qt, Home ,Hamilton Beach,,375.86,0.5351,15.0,2.55
