session_id,customer_id,session_start,session_end,session_duration_sec,pages_viewed,device_type,landing_page,traffic_source,campaign_name,converted_flag,revenue
SESS100000,CUST1357,2025-12-02 11:25:45.000000,2025-12-02 11:30:57.000000,312.0,16.0,desktop,deals,direct,,True,51.19
SESS100001,CUST1485,2026-01-24 06:21:14.000000,2026-01-24 06:30:45.000000,571.0,12.0,desktop,product,,,False,0.0
SESS100002,CUST1214,2025-05-11 06:25:20.000000,2025-05-11 06:49:52.000000,1472.0,11.0,desktop, category ,organic_search,,False,0.0
SESS100003,CUST1381,2025-08-09 18:45:40.000000,2025-08-09 18:54:22.000000,522.0,3.0,mobile,deals,organic_search,,False,0.0
SESS100004,CUST1056,2025-12-29 00:17:45.000000,2025-12-29 00:40:40.000000,1375.0,,desktop,product,SOCIAL,End of Season Clearance,False,0.0
SESS100005,CUST1167,2025-09-21 04:07:00.000000,2025-09-21 04:31:46.000000,1486.0,11.0,tablet,category,paid_search,Anniversary Special,True,290.23
SESS100006,CUST1043,2025-05-08 19:19:48.000000,2025-05-08 19:46:36.000000,1608.0,3.0,mobile,category,email,Cyber Monday Deals,True,390.72
SESS100007,CUST1232,2025-03-02 02:44:24.000000,2025-03-02 03:10:20.000000,1556.0,14.0,desktop,product,direct,,False,
SESS100008,CUST1179,2025-03-07 14:40:33.000000,2025-03-07 14:56:15.000000,942.0,,desktop,,organic_search,,,0.0
SESS100009,CUST1053,2026-01-26 10:35:04.000000,2026-01-26 10:43:32.000000,508.0,4.0,mobile,home,social,Winter Warmup Deals,False,0.0
SESS100010,CUST1363,,2025-04-24 18:56:49.000000,31.0,3.0,tablet,product,paid_search,Winter Warmup Deals,False,0.0
SESS100011,CUST1235,2025-10-19 02:39:57.000000,2025-10-19 03:01:31.000000,1294.0,11.0,mobile, deals ,,Summer Blowout 2026,False,0.0
SESS100012,CUST1411,2025-11-22 03:38:04.000000,2025-11-22 03:38:58.000000,54.0,7.0,tablet,new_arrivals,organic_search,,True,183.88
SESS100013,CUST1192,2025-06-29 09:57:43.000000,2025-06-29 10:24:09.000000,,,desktop,search,direct,,False,0.0
SESS100014,CUST1415,2025-11-12 02:04:51.000000,2025-11-12 02:13:35.000000,524.0,16.0,,category,referral,,False,0.0
SESS100015,CUST1337,2025-06-30 03:01:30.000000,2025-06-30 03:30:16.000000,1726.0,1.0,mobile,deals,paid_search,valentine's day specials,False,0.0
SESS100016,CUST1446,2025-11-04 19:55:28.000000,2025-11-04 19:57:33.000000,125.0,12.0,mobile,home,referral,,False,0.0
SESS100017,CUST1400,2026-01-21 09:10:27.000000,2026-01-21 09:30:09.000000,1182.0,18.0,tablet,,email,Spring Clearance,False,0.0
SESS100018,CUST1473,2025-02-24 13:53:10.000000,2025-02-24 14:17:23.000000,1453.0,20.0,mobile,home,social,Cyber Monday Deals,True,181.96
SESS100019,CUST1232,2025-03-28 07:52:08.000000,2025-03-28 08:19:00.000000,1612.0,4.0,tablet, deals ,paid_search,Easter Weekend Sale,False,0.0
