order_id,customer_id,order_datetime,sku,quantity,unit_price,total_amount,payment_method,order_status,coupon_applied
ORD5000,CUST1327, 2024-05-22 20:19:09.180254 ,sku10028,3.0,235.42,706.26,paypal,nan,false
NAN,CUST1012,2025-06-07 18:12:07.715508, SKU10189 ,1.0,385.05,, WALLET , nan ,True
 ORD5002 ,CUST1140,2024-05-16 12:23:17.564882,SKU10062,2.0,145.6,291.2,credit_card,delivered,False
ORD5003,CUST1114, 2024-06-23 15:26:21.874969 , sku10035 ,,194.27,582.81,paypal,delivered,True
 ORD5004 ,cust1377,2024-03-02 23:51:32.955181,SKU10026,4.0,41.51,166.03,credit_card,delivered,False
ORD5005, CUST1346 , 2024-09-24 14:52:15.768538 , SKU10189 ,4.0,385.05,1540.2,paypal,delivered,False
 ORD5006 , cust1456 ,2024-10-07 16:22:54.915289,nan,3.0,33.26,99.78,paypal, delivered ,false
nan, CUST1044 ,2024-12-10 18:09:12.919682,nan,3.0,242.11,726.33,paypal,delivered,True
nan,cust1216,2025-04-20 00:08:43.495261,SKU10008,3.0,30.09,90.27,credit_card,delivered,False
ORD5009,CUST1015,2025-08-30 02:06:10.559453,SKU10023,1.0,136.28,136.28,wallet, nan ,nan
ORD5010,CUST1111,nan,sku10059,2.0,197.12,394.24,credit_card,delivered,False
ORD5799,CUST1112,2025-01-03 23:06:11.170253, sku10162 ,13.615599857291695,162.12,486.36,credit_card,nan, False 
ORD5012, CUST1013 ,NAN,SKU10143,,210.66,421.32, CREDIT_CARD ,cancelled,False
 ORD5013 ,CUST1101,2024-04-06 05:25:54.333648, SKU10183 ,1.0,1300.635444514297,162.88,nan,delivered, False 
 ORD5014 ,CUST1332, 2025-03-16 19:49:39.832927 ,sku10179,1.0,1300.635444514297,69.07,nan,delivered, False 
 ORD5015 ,CUST1279,2025-05-02 09:49:53.091061,SKU10107,2.0,56.61,113.22, wallet ,delivered,False
 ORD5016 ,cust1112,2025-06-10 23:00:42.744716,SKU10114,2.0,,162.11, bank_transfer ,returned,false
ord5017, CUST1301 ,2024-06-12 06:49:40.970719,SKU10071,2.0,179.67,,credit_card,delivered,False
ORD5018,CUST1414,2024-07-23 22:47:18.950083,SKU10001,3.0,229.27,,CREDIT_CARD,nan,nan
ORD5019,CUST1388,2024-11-19 16:48:18.362496, SKU10040 ,3.0,165.9,497.7,credit_card,CANCELLED,true
 ORD5576 ,CUST1027,2025-09-27 00:08:05.564677, SKU10038 ,13.615599857291695,,11.92, paypal ,pending,TRUE
ORD5021,cust1174, 2025-02-13 11:09:20.495653 ,SKU10071,13.615599857291695,179.67,179.67,bank_transfer,pending, FALSE 
