order_id,customer_id,sku,quantity,unit_price,total_amount,discount_amount,order_status,order_datetime,session_id
,CUST1357,SKU10055,5.0,86.25,431.25,86.25,delivered,2025-12-02 11:25:45.000000,
ORD5001,CUST1167,SKU10195,3.0,163.08,489.24,97.85,delivered,2025-09-21 04:07:00.000000,SESS100005
ORD5002,CUST1167,SKU10111,2.0,377.03,754.06,37.7,cancelled,2025-09-21 04:07:00.000000,SESS100005
ORD5003,CUST1043,SKU10025,3.0,262.36,787.08,39.35,cancelled,2025-05-08 19:19:48.000000,SESS100006
ORD5004,CUST1043,SKU10043,1.0,57.95,57.95,0.0,processing,2025-05-08 19:19:48.000000,SESS100006
ORD5005,CUST1411,SKU10066,3.0,270.66,811.98,162.4,delivered,2025-11-22 03:38:04.000000,SESS100012
ORD5006,CUST1411,SKU10124,5.0,117.56,587.8,117.56,processing,2025-11-22 03:38:04.000000,SESS100012
,CUST1411,SKU10083,4.0,205.16,820.64,82.06,delivered,2025-11-22 03:38:04.000000,
ORD5008,CUST1411,SKU10116,5.0,247.1,1235.5,123.55,delivered,2025-11-22 03:38:04.000000,SESS100012
ORD5009,CUST1411,,2.0,111.64,223.28,22.33,delivered,2025-11-22 03:38:04.000000,SESS100012
ORD5010,CUST1473,,5.0,247.75,1238.75,0.0,delivered,2025-02-24 13:53:10.000000,SESS100018
ORD5011,CUST1473,SKU10057,,152.9,152.9,30.58,processing,,SESS100018
ORD5012,CUST1473,SKU10080,3.0,63.19,189.57,37.91,delivered,2025-02-24 13:53:10.000000,SESS100018
ORD5013,CUST1473,SKU10054,3.0,234.12,702.36,0.0,cancelled,2025-02-24 13:53:10.000000,SESS100018
ORD5014,CUST1218,SKU10066,2.0,270.66,541.32,81.2,delivered,2025-04-13 06:58:33.000000,SESS100027
ORD5015,CUST1218,SKU10149,5.0,127.65,638.25,95.74,shipped,2025-04-13 06:58:33.000000,SESS100027
ORD5016,CUST1218,SKU10163,3.0,59.8,,0.0,shipped,2025-04-13 06:58:33.000000,
ORD5017,CUST1218,,1.0,269.39,269.39,40.41,cancelled,2025-04-13 06:58:33.000000,SESS100027
ORD5018,CUST1487,SKU10189,5.0,79.97,399.85,,shipped,2025-06-13 23:23:03.000000,SESS100030
ORD5019,CUST1487,SKU10115,2.0,37.83,75.66,0.0, delivered ,2025-06-13 23:23:03.000000,SESS100030
ORD5020,CUST1488,SKU10075,4.0,115.52,462.08,46.21,,2025-05-10 12:20:04.000000,SESS100035
ORD5021,,SKU10012,5.0,75.09,375.45,75.09,processing,2025-05-10 12:20:04.000000,SESS100035
ORD5022,CUST1488,SKU10125,3.0,275.43,826.29,0.0,returned,2025-05-10 12:20:04.000000,
ORD5023,CUST1488,SKU10026,5.0,354.92,1774.6,0.0,delivered,2025-05-10 12:20:04.000000,SESS100035
ORD5024,,SKU10016,3.0,121.25,363.75,72.75,returned,2025-05-10 12:20:04.000000,SESS100035
ORD5025,CUST1338,SKU10017,1.0,172.31,172.31,8.62,shipped,2025-12-16 05:30:55.000000,SESS100040
ORD5026,CUST1338,SKU10165,2.0,368.67,737.34,110.6,delivered,2025-12-16 05:30:55.000000,SESS100040
ORD5027,CUST1316,SKU10156,3.0,53.83,161.49,0.0,delivered,2025-08-14 22:59:02.000000,SESS100047
ORD5028,CUST1316,SKU10001,4.0,216.68,866.72,173.34,delivered,2025-08-14 22:59:02.000000,SESS100047
ORD5029,CUST1316,sku10146,2.0,373.42,746.84,149.37,delivered,2025-08-14 22:59:02.000000,SESS100047
ORD5030,CUST1316,SKU10078,3.0,68.89,206.67,41.33,delivered,2025-08-14 22:59:02.000000,SESS100047
ORD5031,CUST1316,SKU10046,1.0,66.01,66.01,6.6,shipped,2025-08-14 22:59:02.000000,SESS100047
ORD5032,CUST1171,SKU10084,4.0,310.58,1242.32,0.0, delivered ,2025-03-09 16:45:00.000000,SESS100054
ORD5033,CUST1171,SKU10173,3.0,121.81,365.43,18.27,delivered,2025-03-09 16:45:00.000000,SESS100054
ORD5034,CUST1171,SKU10133,1.0,240.79,240.79,48.16,delivered,2025-03-09 16:45:00.000000,SESS100054
ORD5035,CUST1171,,5.0,338.04,1690.2,,returned,2025-03-09 16:45:00.000000,SESS100054
ORD5036,cust1099,SKU10097,2.0,133.61,267.22,0.0,cancelled,2025-08-09 07:04:07.000000,
ORD5037,CUST1099,SKU10058,3.0,270.95,812.85,0.0,delivered,2025-08-09 07:04:07.000000,SESS100059
,CUST1471,SKU10153,1.0,328.51,328.51,0.0,delivered,2025-07-20 02:22:28.000000,
ORD5039,CUST1471,SKU10180,3.0,75.86,227.58,34.14,cancelled,2025-07-20 02:22:28.000000,SESS100063
ORD5040,CUST1471,SKU10038,4.0,239.32,957.28,191.46,delivered,2025-07-20 02:22:28.000000,SESS100063
ORD5041,CUST1453,SKU10040,5.0,183.9,919.5,45.98,cancelled,2026-01-11 11:48:54.000000,SESS100065
ORD5042,CUST1453,SKU10039,2.0,114.71,229.42,34.41,delivered,2026-01-11 11:48:54.000000,SESS100065
ORD5043,CUST1167,SKU10066,2.0,270.66,541.32,27.07,cancelled,2025-12-13 00:11:00.000000,SESS100067
ORD5044,CUST1167,SKU10104,3.0,24.71,74.13,7.41,shipped,2025-12-13 00:11:00.000000,SESS100067
ORD5045,cust1089,SKU10115,5.0,37.83,189.15,,processing,2025-11-28 12:23:19.000000,SESS100069
ORD5046,CUST1089,SKU10169,3.0,67.28,201.84,0.0,delivered,,SESS100069
ORD5047,CUST1089,SKU10139,2.0,150.47,300.94,0.0,delivered,2025-11-28 12:23:19.000000,SESS100069
ORD5048,CUST1089,SKU10025,2.0,262.36,,104.94,delivered,2025-11-28 12:23:19.000000,SESS100069
ORD5049,CUST1033,SKU10014,1.0,286.68,286.68,28.67,returned,2025-09-08 04:37:31.000000,SESS100072
ORD5050,CUST1033,SKU10077,3.0,509.6,1528.8,,delivered,2025-09-08 04:37:31.000000,SESS100072
ORD5051,CUST1033,SKU10097,1.0,133.61,133.61,0.0,delivered,2025-09-08 04:37:31.000000,SESS100072
ORD5052,CUST1033,SKU10047,2.0,403.03,806.06,0.0,delivered,2025-09-08 04:37:31.000000,SESS100072
ORD5053,CUST1033,SKU10170,2.0,113.02,226.04,0.0,processing,2025-09-08 04:37:31.000000,SESS100072
ORD5054,CUST1352,SKU10160,,274.32,822.96,123.44,processing,2025-05-08 14:34:18.000000,SESS100087
,CUST1352,SKU10184,3.0,324.76,974.28,48.71,shipped,2025-05-08 14:34:18.000000,
ORD5056,CUST1352,SKU10195,1.0,163.08,163.08,24.46,delivered,2025-05-08 14:34:18.000000,SESS100087
ORD5057,CUST1352,SKU10016,1.0,,121.25,,,2025-05-08 14:34:18.000000,SESS100087
ORD5058,CUST1352,sku10081,2.0,313.85,627.7,0.0,shipped,2025-05-08 14:34:18.000000,SESS100087
ORD5059,CUST1168,SKU10017,1.0,172.31,172.31,0.0,,2025-12-01 03:22:08.000000,SESS100093
ORD5060,CUST1168,SKU10068,1.0,49.65,49.65,0.0,shipped,2025-12-01 03:22:08.000000,SESS100093
ORD5061,CUST1168,SKU10054,3.0,234.12,702.36,70.24,delivered,2025-12-01 03:22:08.000000,SESS100093
ORD5062,CUST1168,SKU10125,5.0,275.43,1377.15,,delivered,2025-12-01 03:22:08.000000,SESS100093
ORD5063,CUST1114,SKU10031,2.0,213.97,427.94,64.19, shipped ,2025-02-18 05:06:21.000000,SESS100098
ORD5064,CUST1114,SKU10153,4.0,328.51,1314.04,262.81,processing,2025-02-18 05:06:21.000000,SESS100098
ORD5065,CUST1289,SKU10016,,121.25,606.25,30.31,processing,2025-06-14 20:12:34.000000,SESS100105
ORD5066,CUST1289,SKU10160,5.0,274.32,1371.6,,shipped,,SESS100105
ord5067,CUST1289,SKU10013,3.0,175.39,526.17,78.93,delivered,2025-06-14 20:12:34.000000,
,, sku10065 ,3.0,139.06,417.18,62.58,delivered,2026-01-01 10:02:50.000000,
ORD5069,CUST1077,SKU10056,1.0,,85.54,17.11,delivered,2026-01-01 10:02:50.000000,SESS100107
ORD5070,CUST1077,SKU10074,3.0,269.52,808.56,,delivered,2026-01-01 10:02:50.000000,SESS100107
ORD5071,CUST1077,SKU10133,3.0,240.79,722.37,0.0,delivered,2026-01-01 10:02:50.000000,SESS100107
ORD5072,cust1119,SKU10168,2.0,291.26,582.52,0.0,delivered,2025-09-25 22:51:11.000000,SESS100111
ORD5073,CUST1119,SKU10189,4.0,79.97,319.88,31.99,delivered,2025-09-25 22:51:11.000000,SESS100111
ORD5074,CUST1119,SKU10113,1.0,104.71,104.71,0.0,delivered,2025-09-25 22:51:11.000000,SESS100111
ORD5075,CUST1220,SKU10088,3.0,36.9,110.7,5.54,shipped,2025-06-16 00:04:16.000000,SESS100117
ORD5076,CUST1220,SKU10080,4.0,63.19,252.76,0.0,shipped,2025-06-16 00:04:16.000000,SESS100117
ORD5077,CUST1220,SKU10140,4.0,321.34,,0.0,cancelled,2025-06-16 00:04:16.000000,SESS100117
ORD5078,CUST1220,sku10013,2.0,175.39,350.78,0.0,delivered,2025-06-16 00:04:16.000000,SESS100117
ORD5079,cust1274,SKU10052,2.0,,283.72,42.56,delivered,2026-02-06 17:15:02.000000,SESS100138
ORD5080,cust1274,SKU10153,,328.51,328.51,65.7,cancelled,2026-02-06 17:15:02.000000,SESS100138
ORD5081,CUST1343,SKU10005,5.0,267.13,1335.65,66.78,delivered,2025-05-15 12:20:09.000000,SESS100148
ord5082,CUST1343,SKU10044,1.0,126.15,126.15,18.92,shipped,2025-05-15 12:20:09.000000,
ORD5083,CUST1343,SKU10055,5.0,86.25,431.25,43.12,shipped,2025-05-15 12:20:09.000000,SESS100148
ORD5084,CUST1343,SKU10010,4.0,368.87,1475.48,0.0,processing,2025-05-15 12:20:09.000000,SESS100148
ORD5085, cust1112 ,SKU10151,2.0,235.31,470.62,94.12,delivered,2025-11-21 12:58:43.000000,SESS100151
ORD5086,CUST1112,,4.0,246.6,986.4,98.64,delivered,2025-11-21 12:58:43.000000,SESS100151
ORD5087,CUST1112,SKU10121,2.0,10.64,21.28,3.19,delivered,2025-11-21 12:58:43.000000,SESS100151
ORD5088,CUST1010,SKU10165,2.0,368.67,737.34,147.47,returned,2026-02-11 20:40:19.000000,SESS100157
ORD5089,CUST1010,SKU10139,2.0,150.47,300.94,45.14,delivered,2026-02-11 20:40:19.000000,SESS100157
ORD5090,CUST1010,SKU10105,1.0,375.86,375.86,,cancelled,2026-02-11 20:40:19.000000,SESS100157
ORD5091,CUST1010,SKU10174,2.0,209.27,418.54,41.85,processing,2026-02-11 20:40:19.000000,SESS100157
,CUST1047,SKU10156,2.0,53.83,107.66,10.77,cancelled,2025-08-06 16:50:17.000000,
