event_id,session_id,customer_id,event_datetime,page_type,action,add_to_cart,referral_source
WEB300000,SESS103450,CUST1121,2025-05-07 05:36:51.000000,cart,view_page,False,social
WEB300001,SESS103621,CUST1099,2026-01-22 13:06:56.000000,cart,search,False,paid_ads
WEB300002,SESS106406,CUST1016,2025-10-31 11:36:46.000000,home,view_page,False,social
WEB300003,SESS104593,CUST1213,2026-02-06 20:00:38.000000,category,search,False,social
WEB300004,SESS105630,CUST1391,2025-05-31 02:05:22.000000,category,remove_from_cart,False,email
WEB300005,SESS107144,CUST1328,2025-03-29 13:23:45.000000,,view_page,False,direct
WEB300006,SESS100861,CUST1032,2025-03-21 02:34:54.000000,product,search,False,paid_ads
WEB300007,sess102174,CUST1231,,search_results,purchase,False,organic_search
WEB300008,SESS103693,CUST1423,2025-04-16 05:21:23.000000,,remove_from_cart,False,social
WEB300009,SESS101451,CUST1380,2025-02-21 11:21:05.000000,,remove_from_cart,False,direct
WEB300010,SESS103654,CUST1130,2026-01-18 11:56:47.000000,cart,remove_from_cart,False,social
WEB300011,sess104262,CUST1463,2026-01-19 04:27:47.000000,product,purchase,False,
WEB300012,SESS102691,CUST1194,2026-01-07 04:55:51.000000,checkout,add_to_cart,True,organic_search
WEB300013,SESS106371,CUST1202,2025-09-10 14:41:23.000000,product,add_to_cart,True,email
WEB300014,SESS103395,CUST1338,,home,search,False,paid_ads
WEB300015,SESS103073,CUST1338,2025-05-30 03:47:30.000000,category,search,False,organic_search
WEB300016,SESS102872,CUST1123,2025-09-27 09:04:43.000000,checkout,search,False,social
WEB300017,SESS103548,CUST1449,2025-05-09 15:49:35.000000,cart,purchase,False,social
WEB300018,SESS105076,CUST1389,2026-02-09 17:24:56.000000,,search,False,email
WEB300019,SESS106163,CUST1453,2025-06-05 04:38:11.000000,product,add_to_cart,True,direct
WEB300020,SESS106657,CUST1083,2025-06-19 13:18:39.000000,home,add_to_cart,True,paid_ads
WEB300021,SESS106778,CUST1327,,checkout,remove_from_cart,False,direct
WEB300022,SESS105333,CUST1140,2025-07-11 00:57:24.000000,category,add_to_cart,True,social
WEB300023,SESS103356,CUST1173,2025-06-24 05:14:08.000000,checkout,remove_from_cart,False,
WEB300024,SESS107225,CUST1338,2025-02-15 13:17:18.000000,checkout,remove_from_cart,False,direct
