event_id,customer_id,session_id,event_datetime,page_type,action,page_views_in_session,search_query,referral_source,add_to_cart,abandoned_cart
evt200000,CUST1476,SESS104381,2024-01-13 19:27:54.452188,cart, purchase ,6.0,HEADPHONES, direct ,False,False
EVT200001,CUST1212, SESS101918 ,2025-07-25 14:11:03.615540,search_results,view_page,4.0, nan , nan ,FALSE,false
EVT200002,CUST1202,NAN,NAN,checkout,view_page,5.0,nan,organic_search,FALSE,False
nan,CUST1191,SESS100305,2024-09-14 06:18:04.451444, home ,purchase,8.0,nan, email ,nan,False
EVT200004,CUST1197,SESS103271,2024-05-24 10:28:18.090389,search_results,add_to_cart,10.0,nan, direct , NAN ,FALSE
evt200005,CUST1191,SESS100742,2024-11-12 21:25:19.487999, checkout ,view_page,5.0,SHOES,google_ads,False,FALSE
evt200006,CUST1014, SESS100213 ,2024-11-30 11:17:03.307909,product,view_page,14.0, nan ,facebook,FALSE,False
EVT200007, cust1476 , SESS100511 ,2025-02-11 05:34:38.254076,product,view_page,47.353935293480475,nan,instagram,False,False
EVT200008,CUST1429, sess100986 ,2025-07-14 14:45:48.071491,category,click_product,11.0,HEADPHONES,instagram,FALSE,NAN
NAN,cust1405,nan,2025-07-03 23:51:51.437629,HOME,click_product,9.0,nan, direct ,nan,False
evt200010,CUST1070,sess102951,2025-04-14 19:17:56.605430,category,begin_checkout,3.0,laptop, organic_search ,False, False 
EVT200011,CUST1146,SESS101100,2024-06-26 01:49:24.088567,category,begin_checkout,47.353935293480475,nan,EMAIL,False,false
 EVT200012 ,CUST1356, SESS102415 ,2024-07-03 20:41:25.764363,CATEGORY,view_page,7.0, nan , facebook ,False,False
EVT200013,CUST1388,SESS104029,2025-02-07 06:15:03.669670,home,view_page,4.0,t-shirt,instagram,False,NAN
 EVT200014 ,CUST1229, SESS104383 ,2024-04-02 06:23:51.516418,category,nan,2.0,nan,organic_search,TRUE,False
EVT200015,CUST1463,SESS102612,2024-01-25 21:29:55.865978,category,view_page,2.0,nan,direct, False ,nan
EVT200016,cust1009, sess102928 ,2025-03-24 00:06:40.184969, category , view_page ,4.0,nan,facebook,nan,False
evt200017,CUST1110, SESS102945 ,2024-03-23 19:50:56.822702,cart,view_page,4.0,nan,direct,False,False
EVT200018,cust1280,SESS100987,2024-02-20 07:18:35.023024,CART, begin_checkout ,8.0,shoes,email, False ,TRUE
 evt200019 ,CUST1216,nan,2024-01-11 16:51:52.431309,cart,add_to_cart,5.0,LAPTOP,email,True,False
EVT200020,cust1397,SESS101392,2025-05-02 06:28:37.217551,PRODUCT,add_to_cart,9.0,coffee mug, email ,True,False
EVT200021, CUST1121 ,SESS100950,2025-05-07 14:06:22.409568,home,begin_checkout,14.0, t-shirt ,direct, nan , True 
EVT200022,nan,sess101923,nan,cart,nan,10.0,nan,google_ads,False,False
EVT200023,CUST1122, sess104113 ,2024-08-28 12:09:56.462572,search_results,purchase,10.0,nan,organic_search,FALSE,FALSE
evt200024,CUST1327,nan, 2025-08-18 07:59:55.006105 ,search_results,click_product,11.0, coffee mug ,organic_search,FALSE,FALSE
evt200025,cust1032,SESS101032,2024-01-11 15:52:52.431309,category, add_to_cart ,47.353935293480475,nan,nan,True,False
EVT200026,CUST1428, SESS102138 ,2024-06-05 20:21:15.069820,NAN, view_page ,11.0,COFFEE MUG,organic_search,FALSE,False
EVT200027,CUST1305,SESS103385,2024-12-20 16:57:04.288566, CART ,VIEW_PAGE,11.0,nan,google_ads, FALSE ,FALSE
EVT200028,CUST1008,sess104133,2025-05-07 18:16:32.943835,PRODUCT,view_page,1.0, coffee mug ,email,False, false 
EVT200029, nan ,SESS101999,2025-03-26 06:17:17.464774,category, click_product ,12.0,coffee mug, nan ,FALSE, False 
EVT200030,CUST1367,SESS101677,2025-01-25 20:57:36.742261,cart,add_to_cart,2.0,nan,email, True ,FALSE
EVT200031,CUST1149,SESS102441, 2025-08-09 18:37:41.849479 ,PRODUCT, add_to_cart ,,nan,nan, True ,False
EVT200032,CUST1000, nan , 2025-03-29 00:06:35.718953 ,checkout, purchase ,,nan,nan, False ,False
EVT200033, CUST1123 ,SESS100094, 2024-03-16 06:31:03.623167 , search_results , add_to_cart ,7.0,headphones, google_ads ,True,False
EVT200034,CUST1213,sess104950,2024-06-10 13:06:52.852955,nan,begin_checkout,, NAN , email , False ,False
EVT200035,CUST1340,SESS101946,2025-01-15 04:05:12.426049, checkout ,add_to_cart,7.0,SHOES, direct ,True,FALSE
EVT200036,cust1268,SESS102883,2025-02-21 16:44:38.303594,home, view_page ,1.0,nan,GOOGLE_ADS,false,false
nan,CUST1034,SESS102376,2025-04-16 18:19:34.596998,category,click_product,5.0,nan, organic_search ,False,FALSE
 nan , CUST1278 ,SESS100307,2025-01-31 04:24:07.444232,product, view_page ,1.0,SHOES,google_ads,False, nan 
EVT200039,CUST1402, SESS102371 ,2025-01-31 04:57:07.444232,category,nan,4.0,t-shirt, instagram ,FALSE,False
EVT200040, CUST1283 ,SESS101648,2024-01-20 08:04:22.739477,checkout,begin_checkout,2.0, nan ,organic_search,FALSE, False 
EVT200041,CUST1199,SESS102778, 2025-10-13 13:13:42.227242 ,home,view_page,3.0,laptop,nan,False,False
 EVT200042 ,CUST1022,SESS102648,2024-11-19 12:59:12.582898,cart,nan,13.0,nan,direct,False,False
EVT200043,CUST1191, SESS101255 , 2025-04-19 04:43:17.681861 ,product,click_product,14.0, nan , instagram ,False,False
nan, CUST1382 ,SESS104830,2024-09-18 11:35:08.637053, home ,view_page,9.0,NAN, facebook , False ,FALSE
EVT200045,CUST1182,SESS102142,2024-01-28 20:42:56.496784,home,view_page,10.0,nan,google_ads,false,FALSE
EVT200046,CUST1176,SESS104089, 2025-04-12 21:47:28.481422 ,checkout,PURCHASE,12.0,headphones, facebook ,false,False
EVT200047,CUST1375,SESS102807,2024-05-18 09:14:23.577132,product,remove_from_cart,13.0,t-shirt,facebook,False,false
EVT200048,CUST1395,SESS104315,2025-04-09 22:28:04.876698, nan ,nan,4.0,nan,facebook,False,False
EVT200049,CUST1376, SESS103546 ,2024-08-29 01:08:49.561853,product,purchase,10.0,coffee mug, DIRECT ,False,FALSE
EVT201211, CUST1078 ,SESS104452,2025-09-16 20:04:36.587971,category, view_page ,,NAN,EMAIL,False,nan
 EVT200051 ,NAN,NAN, 2025-06-28 03:11:51.949203 ,home,purchase,1.0,coffee mug, facebook ,False,False
 EVT200052 , CUST1173 , nan ,nan,product,click_product,,T-SHIRT,direct, False ,False
 EVT200053 ,CUST1425, SESS101000 , 2025-01-28 11:55:08.939476 ,nan, view_page ,2.0, nan ,google_ads,FALSE,False
 EVT200054 ,CUST1356,SESS103181, 2025-01-05 02:01:46.840002 ,product,begin_checkout,13.0,headphones,direct,nan,False
EVT200055,CUST1323,SESS101494,2025-08-16 08:38:45.070285,home, begin_checkout ,2.0,nan,email,False,FALSE
evt200056,cust1415,SESS104522,2024-07-13 12:15:08.820107,checkout,purchase,1.0,coffee mug,facebook,False,False
EVT200057, CUST1032 ,SESS102629,2024-10-23 01:25:41.330140,search_results,view_page,3.0,t-shirt,facebook, False ,False
evt200058, CUST1018 ,SESS101643,2025-06-17 12:39:25.614193,PRODUCT,ADD_TO_CART,7.0,t-shirt,facebook, true ,False
EVT200059,CUST1103, SESS102542 ,2025-02-02 02:37:47.429852, PRODUCT , nan ,5.0,coffee mug,organic_search,False,False
EVT200060,CUST1405,SESS101305,2025-04-01 20:05:38.895978,search_results,add_to_cart,9.0,t-shirt,organic_search,True, False 
nan,cust1453, sess100566 ,2024-07-13 22:52:12.663119, product ,BEGIN_CHECKOUT,5.0,NAN,INSTAGRAM,False,False
EVT200062,CUST1161, SESS101682 ,2024-09-10 17:38:52.666904, home ,click_product,4.0, NAN , EMAIL ,False, false 
EVT200063,cust1263,SESS100770,2025-01-30 09:50:45.745036,product,view_page,5.0, t-shirt ,direct,False,False
EVT200064,CUST1417,SESS100038, 2025-03-10 10:38:18.072135 ,home,view_page,9.0,COFFEE MUG, organic_search ,False,False
EVT200065,CUST1242, SESS102099 ,2025-04-03 22:27:52.344758,nan,view_page,14.0,nan,instagram,False,false
